ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,direction,clade
GO:0006796,phosphate-containing compound metabolic process,31/136,443/4986,0.06997742663656885,2.5654959500730317,5.779810629225727,5.601118803280719e-7,5.348165050874493e-6,4.5455599116607536e-6,YDL004W/YDR072C/YDR298C/YDR322C-A/YDR377W/YOL077W-A/YOR020W-A/YOR120W/YGR157W/YGR194C/YGR244C/YLR345W/YPL271W/YPL134C/YPL057C/YPR020W/YML126C/YML120C/YML081C-A/YML075C/YMR145C/YMR208W/YMR220W/YBL099W/YBR039W/YNR043W/YJL167W/YJR121W/YKL016C/YHR190W/YFR053C,31,Downregulated,8. Mixed origin
GO:0009165,nucleotide biosynthetic process,13/136,92/4986,0.14130434782608695,5.180466751918158,6.776693929877762,9.222820653136164e-7,8.66652353437557e-6,7.3659286085197755e-6,YDL004W/YDR298C/YDR322C-A/YDR377W/YOL077W-A/YOR020W-A/YPL271W/YPR020W/YML081C-A/YBL099W/YBR039W/YJR121W/YKL016C,13,Downregulated,8. Mixed origin
GO:0090407,organophosphate biosynthetic process,20/136,253/4986,0.07905138339920949,2.8981632178563124,5.188678096210779,1.3305576529417162e-5,1.2307658289710874e-4,1.0460634179377307e-4,YDL004W/YDR298C/YDR322C-A/YDR377W/YOL077W-A/YOR020W-A/YGR157W/YPL271W/YPL057C/YPR020W/YML126C/YML081C-A/YMR208W/YMR220W/YBL099W/YBR039W/YNR043W/YJL167W/YJR121W/YKL016C,20,Downregulated,8. Mixed origin
GO:1901293,nucleoside phosphate biosynthetic process,13/136,119/4986,0.1092436974789916,4.005066732575383,5.555563225381766,1.71804973068143e-5,1.5647468316360103e-4,1.3299235162197954e-4,YDL004W/YDR298C/YDR322C-A/YDR377W/YOL077W-A/YOR020W-A/YPL271W/YPR020W/YML081C-A/YBL099W/YBR039W/YJR121W/YKL016C,13,Downregulated,8. Mixed origin
GO:0043603,amide metabolic process,11/136,100/4986,0.11,4.032794117647059,5.129763746586853,7.389170991537705e-5,6.627862465136851e-4,5.633211696897964e-4,YDR513W/YGR244C/YPL111W/YPL087W/YML126C/YML075C/YMR170C/YMR208W/YMR220W/YNR043W/YER163C,11,Downregulated,8. Mixed origin
GO:0044283,small molecule biosynthetic process,21/136,315/4986,0.06666666666666667,2.4441176470588233,4.433881526221,1.0250829324919705e-4,9.05744919455592e-4,7.698187615572064e-4,YDL110C/YDR007W/YGL012W/YGL001C/YLR100W/YPL028W/YML126C/YML075C/YML008C/YMR009W/YMR134W/YMR170C/YMR208W/YMR220W/YNR043W/YJL167W/YJR148W/YKL150W/YER062C/YHR072W/YHR190W,21,Downregulated,8. Mixed origin
GO:0042407,cristae formation,4/136,11/4986,0.36363636363636365,13.331550802139038,6.8556503966688975,1.5061660139711807e-4,0.0013112504121631453,0.001114469589285177,YDR322C-A/YPR020W/YKR016W/YCL057C-A,4,Downregulated,8. Mixed origin
GO:0006629,lipid metabolic process,21/136,330/4986,0.06363636363636363,2.333021390374331,4.195838549212892,1.983629562707812e-4,0.0017018966682942388,0.0014464911227678628,YDL110C/YDR072C/YGL012W/YGL001C/YGR157W/YLR100W/YPL221W/YPL087W/YPL057C/YPL028W/YML126C/YML075C/YML008C/YMR134W/YMR208W/YMR220W/YNR043W/YJL167W/YKL150W/YHR072W/YHR190W,21,Downregulated,8. Mixed origin
GO:0007005,mitochondrion organization,15/136,200/4986,0.075,2.7496323529411764,4.228697487109666,3.126693812025597e-4,0.002644289623884505,0.0022474581084935873,YDR322C-A/YDR529C/YGL191W/YGR183C/YLR038C/YPR020W/YML091C/YML081C-A/YML030W/YMR134W/YBR269C/YJR120W/YKR016W/YHL021C/YCL057C-A,15,Downregulated,8. Mixed origin
GO:0006637,acyl-CoA metabolic process,5/136,25/4986,0.2,7.332352941176471,5.3147356721916825,4.8003784706162304e-4,0.003946977853617789,0.0033546504516879503,YGR244C/YML126C/YMR208W/YMR220W/YNR043W,5,Downregulated,8. Mixed origin
