Bin,MeanR2,Q25,Q75,FracGE,N,type
7250,0.232305874637577,0.07590435,0.342629,0.0628708744053749,20391,SNPs
7350,0.232706887252226,0.0773189,0.342579,0.0639895369114513,20644,SNPs
7450,0.234585036652945,0.07885135,0.34489225,0.0610949612403101,20640,SNPs
7550,0.233674246852953,0.076559,0.344092,0.0640007889157339,20281,SNPs
7650,0.230922385219367,0.0740601,0.340556,0.0634165481387023,20389,SNPs
7750,0.230643247513432,0.0756485,0.339271,0.0627901294893721,20465,SNPs
7850,0.231858876274046,0.07556625,0.344126,0.0631024545364206,20126,SNPs
7950,0.229897991431206,0.0754088,0.3391695,0.0598391791228849,20271,SNPs
8050,0.230331132437533,0.0747363,0.342888,0.0586880909224514,20413,SNPs
8150,0.230620606428715,0.075442175,0.34010875,0.0616855321982308,21026,SNPs
8250,0.228859910360605,0.07465815,0.337344,0.0589560278131427,20422,SNPs
8350,0.228323820280079,0.07300405,0.339273,0.0602331927561399,20155,SNPs
8450,0.224504362773744,0.0728524,0.327948,0.0577883356765405,20627,SNPs
8550,0.226605564139797,0.0732869,0.333356,0.0575184068784899,20237,SNPs
8650,0.227052127273051,0.07454415,0.334114,0.058840878926412,20343,SNPs
8750,0.225899820559245,0.073365175,0.331817,0.0583316742982282,20092,SNPs
8850,0.227530698821829,0.0743494,0.33398525,0.0593941793704217,20204,SNPs
8950,0.227453159777521,0.0743734,0.3363735,0.0583165049500074,20303,SNPs
9050,0.22517938361817,0.073093775,0.331367,0.0573632677282168,20222,SNPs
9150,0.224747163133589,0.0738426,0.3293495,0.054756175416196,20363,SNPs
9250,0.226040340388702,0.0729955,0.331969,0.0586366118862023,20141,SNPs
9350,0.222615084389982,0.0735517,0.32568325,0.0516780516780517,20202,SNPs
9450,0.220004249957851,0.06977605,0.32316775,0.0533002632111764,19756,SNPs
9550,0.222510114986234,0.07314335,0.32391525,0.0554839349464498,20168,SNPs
9650,0.222720045609855,0.072934,0.326891,0.0542261579025919,20101,SNPs
9750,0.222732356284671,0.0718921,0.326102,0.0548571428571429,20125,SNPs
9850,0.223255010373622,0.0717672,0.331194,0.0567562208783583,20174,SNPs
9950,0.22152227499407,0.071962625,0.3269345,0.0531031031031031,19980,SNPs
10050,0.219912966929129,0.0693114,0.326467,0.0526816565676799,19969,SNPs
10150,0.225055261884041,0.074630825,0.3317125,0.0550500454959054,19782,SNPs
10250,0.222303417022376,0.0736963,0.3282945,0.0505826803295158,19908,SNPs
10350,0.22055247932945,0.07193805,0.325859,0.0518846785838769,20083,SNPs
10450,0.222209392753705,0.07276315,0.329157,0.0527366162750087,20043,SNPs
10550,0.218410544769285,0.0725975,0.3209295,0.0487780598277836,20091,SNPs
10650,0.221063279903687,0.0729127,0.327036,0.0504485434935994,19842,SNPs
10750,0.221919879933913,0.07169075,0.3276845,0.0540594059405941,20200,SNPs
