"Condition","Replicate","N_cells_QC","N_DGY3_demuxlet","N_KANMX","Recall_KANMX","Precision_KANMX","N_NATMX","Recall_NATMX","Precision_NATMX","N_BOTH","Recall_BOTH","Precision_BOTH","N_UNION","Recall_UNION","Precision_UNION","N_KANMX_exclusive","N_NATMX_exclusive"
"YPD",1,28780,2393,4159,92.8123694107814,53.402260158692,4429,97.5344755536983,52.6981259878076,4113,91.6005014625993,53.2944322878677,4475,98.7463435018805,52.804469273743,46,316
"YPD",2,42850,3034,3457,56.7567567567568,49.8119757014753,6252,94.3968358602505,45.8093410108765,3382,55.8668424522083,50.1182732111177,6327,95.2867501647989,45.6930614825352,75,2870
"Fluconazole",1,8753,858,441,47.0862470862471,91.609977324263,698,73.5431235431235,90.4011461318052,419,45.2214452214452,92.6014319809069,720,75.4079254079254,89.8611111111111,22,279
"Fluconazole",2,35470,1785,3027,78.3193277310924,46.1843409316155,4091,94.1736694677871,41.0901979956001,2639,76.4705882352941,51.7241379310345,4479,96.0224089635854,38.2674704175039,388,1452
