"gene","correlation","cor_category","mean_expr_bulk","mean_expr_sc","log_mean_expr"
"YAL063C",0.845096604176126,"high (>=0.7)",24.3411217491544,7.58765302148393,4.6634084830647
"YBL059W",-0.00364026579852917,"low (<0.4)",23.9293924142541,11.5834463883102,4.63977581640012
"YFL050C",0.0785810559650235,"low (<0.4)",15.5002411019678,1.58066753649731,4.0444152002113
"YKL163W",0.260821990512662,"low (<0.4)",145.692027943076,6.86961787648719,7.19664665888074
"YAL068C",0.0399813489665395,"low (<0.4)",11.4995195419095,1.49417214851542,3.64380073634864
"YAR020C",0.0391242180792708,"low (<0.4)",644.555874251267,0.419480170685178,9.33439815907428
"YAR033W",0.746215530043712,"high (>=0.7)",12.7008131063766,4.90803918813861,3.77618961068101
"YAR050W",0.470404423514026,"moderate (0.4-0.7)",17.0589730272237,4.32144583991366,4.17464394724885
"YAR071W",0.255256639122312,"low (<0.4)",12.5210474937232,0.658144647739091,3.75713501836104
"YBL113C",0.471971606655739,"moderate (0.4-0.7)",11.2556689974891,3.15346690989319,3.61537733331626
"YBL072C",0.164943440648167,"low (<0.4)",1297.76364945362,1089.51472477008,10.3429231959826
"YBR031W",0.0750949801504173,"low (<0.4)",1248.68150471761,960.38446128331,10.2873447394592
"YBR068C",0.648487509062305,"moderate (0.4-0.7)",139.826027188625,50.1002712542979,7.1377701844449
"YBR118W",0.0994032460809041,"low (<0.4)",5293.31582553419,892.513515907104,12.3702285441613
"YBR299W",0.827268459951496,"high (>=0.7)",52.0559837926613,3.56635693859468,5.72944356612478
"YBR301W",-0.0726855455231169,"low (<0.4)",79.1660499142909,0.771665665051784,6.32491948380959
"YCL069W",-0.0297672276653146,"low (<0.4)",3.37647121395743,0.150921359520881,2.1297680812384
"YCL058C",-0.0392284642211818,"low (<0.4)",24.0732190081355,2.79682666377193,4.64807532236953
"YCL024W",0.216772761669421,"low (<0.4)",11.0606286339249,3.92466558932705,3.59223320141306
"YCR045C",-0.0981441033178329,"low (<0.4)",9.80555226523378,0.892460356635766,3.43370090423915
"YCR050C",-0.245946809439843,"low (<0.4)",7.7335579974745,0.00992783830290495,3.12656951863963
"YCR104W",0.0459838039020246,"low (<0.4)",36.8006763025671,0.831883789500102,5.24034014122872
"YDL248W",0.79974581830101,"high (>=0.7)",82.7695385897308,13.3676896170745,6.38835382192917
"YDL245C",0.0908736704549494,"low (<0.4)",4.04707352341773,0.023091396197914,2.33544710329922
"YDL244W",0.0221188903054921,"low (<0.4)",20.166309874483,2.4240671670778,4.40369786731153
"YDL184C",0.216886804987216,"low (<0.4)",1881.40389732073,3253.43425668047,11.6681910550821
"YDL133C-A",0.0324024719640918,"low (<0.4)",2762.40492371838,573.319951233486,11.4322312614481
"YDL131W",0.338016431762052,"low (<0.4)",317.91804623531,79.9502496805248,8.31704192573919
"YDR040C",0.313681720824639,"low (<0.4)",17.7538426450968,0.299756400473742,4.22911432767082
