"gene","var_bulk","var_sc","log_var_bulk","log_var_sc"
"YAL063C",3863.12136194503,975.103705881541,11.9159246908251,9.93089062446122
"YBL059W",36.5553345128335,38.2808485737061,5.23094594346828,5.2957541910332
"YFL050C",42.2987058041992,3.3907546530257,5.43625199841286,2.13446892167642
"YKL163W",16505.7995361214,48.441568662727,14.0107728062237,5.62765261211904
"YAL068C",112.428939683631,10.1814058087051,6.82564495890424,3.48302968072005
"YAR020C",1666385.63771858,0.493798501108264,20.6682917452998,0.578985555719272
"YAR033W",84.0648730718409,34.7667732061915,6.41049159921857,5.16054806255197
"YAR050W",1532.41276555717,102.243815749629,10.5825303800066,6.68991155733182
"YAR071W",274.982098124268,0.916528838477146,8.10843087784712,0.938495706886118
"YBL113C",102.210180046104,22.1675851157326,6.68944146652137,4.53403576692239
"YBL072C",159047.491249754,90199.1560095162,17.2791071608265,16.4608423083068
"YBR031W",100330.841015059,88129.5747836625,16.6144200024662,16.4273549938871
"YBR068C",8298.7859458715,530.14771020387,13.0188584140359,9.05296931472995
"YBR118W",938402.625193621,25336.4222447177,19.8398490611608,14.6289821359172
"YBR299W",28817.8491793858,156.268497501746,14.814725105196,7.29708590280675
"YBR301W",57896.0130911211,4.8600862552244,15.8212013009974,2.55092189998347
"YCL069W",47.9686299731661,0.351190561555414,5.61378592829226,0.434231155658126
"YCL058C",86.8318764899261,5.4436045840985,6.4566727215249,2.68786796486024
"YCL024W",25.1309765250379,8.73721431704075,4.70768913464307,3.28350909614636
"YCR045C",4.82432962073294,1.89956383013602,2.54209200538897,1.53583589767955
"YCR050C",15.6902446847511,0.00640652826896074,4.06093320015045,0.00921318570693463
"YCR104W",25970.3176526269,6.04298638518414,14.6646315904347,2.8161872938523
"YDL248W",4746.37993229906,282.889997389041,12.2129157977768,8.14918820765897
"YDL245C",19.2530707975424,0.0218977247147988,4.34006876281108,0.0312508132713317
"YDL244W",706.996037658279,25.641230609677,9.46759747597742,4.73558881969418
"YDL184C",1584846.84013736,367993.177002719,20.5959129044416,18.4893234122523
"YDL133C-A",2376273.2199373,70665.8338792033,21.1802699007978,16.1087456522269
"YDL131W",72730.4720687643,2160.84412284785,16.1502921559704,11.0780467877061
"YDR040C",427.493911202106,0.384166853791843,8.74313089390028,0.469017862504096
"YDR343C",151713.121415476,313.078601070487,17.2109958510429,8.29498184183445
"YDR366C",19.2631855382308,1.48016388047683,4.34078909029708,1.31043545195886
"YDR542W",285.63849125156,0.0428022683393775,8.16308854469605,0.0604656261894169
"YEL077C",140.055246958816,145.607297553791,7.14011652192063,7.19581310690699
"YEL070W",8663.3825597447,0.197797257078469,13.0808812285388,0.260383733702254
"YEL069C",1493.50590627109,1.18815343613416,10.5454528832045,1.1297139053099
"YEL049W",99799.4469040936,15.0046533360877,16.6067586554815,4.00041952305336
"YER039C",26.8225585447146,11.1790510183086,4.79818319018255,3.60632981889368
"YER138W-A",779.296721409233,0.0476121529481497,9.60787902798443,0.0671047010519396
"YER189W",59.5701274474969,0.0215064454603636,5.92053454190079,0.0306983071591148
"YFL068W",1051.08625042707,2.4960447410254,10.0390372668234,1.80572364800855
"YFL066C",289.504211334553,0.00120003952219972,8.18241526778469,0.00173025308902288
"YFL062W",2129.49184645791,2850.37323945644,11.0569708148934,11.4774411823978
"YFL060C",943.074003570403,0.147736491517621,9.88275614300529,0.198791452102359
"YFR031C-A",87008.8752577056,32876.3133602317,16.4088915296695,15.0048047904841
"YGL261C",167.443867050627,1.01271321754061,7.39612409145066,1.00914162377116
"YGL076C",20098.7165292831,160115.346675593,14.2948875344521,17.2887610781307
"YGR017W",213.442091084836,105.121608664632,7.74444429817956,6.72957463998748
"YGR031W",41.7912393961123,135.853675362905,5.41924356035799,7.09649037023305
"YGR085C",128817.214616954,50516.4972254086,16.9749770762715,15.6244955453983
"YGR294W",5472.8508742965,0.43004540971246,12.4183404161418,0.516060959120324
"YGR295C",4411.01949592203,154.816439867434,12.1072234506158,7.2837036469482
"YHL050C",101.181990469887,0.875144192613152,6.67499713409987,0.907001538525561
