"name","gene","mean_r2","cv_amp","amp_trim_excess_final","amp_robustness","frac_explained","cv_amp_p_fdr","which_phenotype","early_strains","late_strains"
"CLB6","YGR109C",0.221704772736269,0.474915836667949,1.07006913139194,0.652162372111008,0.257070766598004,0.0160351565776011,"amplitude timing",NA,"AAP,BDL"
"CHS2","YBR038W",0.251239274402125,0.281642959306297,1.06914456513152,0.748145568285309,0.1642121502899,0.0160351565776011,"amplitude timing","SACE_YCE,AAP,CBN,CEG","BDL"
"DSE2","YHR143W",0.303066064410617,0.372409709236234,1.06782165151158,0.620379870444529,0.353401639682455,0.0100430717512344,"amplitude timing",NA,"AFE,BDL"
"PCL9","YDL179W",0.296748296145692,0.427602832787661,1.06776838974368,0.757329957082809,0.109866531732127,0.0216839049174379,"amplitude",NA,NA
"PMP1","YCR024C-A",0.300475512442473,0.267725424178059,1.06772217731128,0.628054235549685,0.0471597826568289,0.0100430717512344,"structure amplitude","APQ",NA
"NRM1","YNR009W",0.190797470394709,0.334572489317846,1.06524021658623,0.692940424970038,0.273314827184131,0.0100430717512344,"structure amplitude timing","AAP,BEF,BHK,AFE,BHG","CBN,BDL,SACE_YCE,BRK,CNH"
"PIL1","YGR086C",0.314175744278692,0.354974963034082,1.05473441043464,0.598563382316891,0.000117776484199528,0.0100430717512344,"structure amplitude timing","BDL","APQ"
"SPO12","YHR152W",0.281182675837271,0.356972423773966,1.03827798311581,0.602509429841037,0.00184746114711287,0.0100430717512344,"amplitude timing","AAP","CBN,CLN,SACE_YCE"
"SFG1","YOR315W",0.20278726959591,0.280323749416069,1.03641680227183,0.731454528010204,0.277493758800531,0.0160351565776011,"structure amplitude timing","CDH,SACE_YCK,ATS,BHQ,APQ","BDL,AMP"
"EMA19","YLR050C",0.23744055346414,0.301581933491791,1.01121827659613,0.631221113464537,0.0817023681693989,0.0100430717512344,"amplitude",NA,"SACE_YCM"
"ALG14","YBR070C",0.273379934927286,0.270168931344308,1.00572252202352,0.674496788318959,0.136585989157355,0.0100430717512344,"amplitude",NA,"AAP"
"GFA1","YKL104C",0.209738640479885,0.392799308708069,0.988763037700441,0.708495148445666,0.00451671503962359,0.0100430717512344,"amplitude","SACE_YCE,CEG,BGD,BHQ","AMP"
"YOX1","YML027W",0.203758541715365,0.463255599778947,0.988585034827984,0.60023737323954,0.172659821291693,0.0100430717512344,"amplitude","AAP","BDL"
