"name","gene","mean_r2","sd_r2","sd_r2_null_mean","str_trim_excess","str_robustness","sd_r2_p_fdr","which_phenotype","early_strains","late_strains"
"MRH1","YDR033W",0.214639227048674,0.15914540698148,0.0712633646718018,1.97308635945408,0.883523913317189,0.029815369261477,"structure amplitude timing","BNV,CGS,BFH,BHG,CQD","BGF,BHM,BGD,BDL,CDT"
"TIP1","YBR067C",0.178476268586498,0.172469198845996,0.0716003068347057,1.87039957098866,0.776493333779982,0.029815369261477,"structure amplitude timing","SACE_YCK,APQ,BAP,BMB,AAP","CDT,BMC,BBQ,BRK,SACE_YCM"
"CRH1","YGR189C",0.381798136305155,0.14583783856209,0.0836493948604319,1.38292757257586,0.793217012281251,0.029815369261477,"structure amplitude",NA,"BDL"
"SCW4","YGR279C",0.322610046597473,0.137611218020952,0.0791921139257289,1.37299596633209,0.790127829322622,0.029815369261477,"structure amplitude timing","BHM,BRK,CLN,CDH","BDL"
"SED1","YDR077W",0.338745109681914,0.141228286804756,0.0733620268987883,1.37024245543137,0.711782080966468,0.029815369261477,"structure amplitude timing","AAP,BFH,SACE_YCE,CLN,CMI","BHM"
"SML1","YML058W",0.534662085978347,0.122036818423389,0.0701474255461158,1.28841737875176,0.740589301785577,0.029815369261477,"structure amplitude","CLN","BDL"
"NCW2","YLR194C",0.432499813741676,0.143905170937879,0.0971013068341923,1.15783774950961,0.78126142268978,0.029815369261477,"structure amplitude",NA,NA
"UTH1","YKR042W",0.342566989065211,0.123402685500378,0.0773622534856351,1.14570722873548,0.718254166757883,0.029815369261477,"structure amplitude timing","BRK,AFE,CLN","APQ,SACE_YCE,BDL,CBN"
"HHT2","YNL031C",0.624037672326318,0.10878543043307,0.0642418106819047,1.13599093427589,0.670844562967566,0.029815369261477,"structure amplitude timing",NA,"BDL,APQ,SACE_YCM,BHM"
"AIM44","YPL158C",0.411690180710566,0.138358759272209,0.0964305584329746,1.11330237005125,0.775927522142498,0.029815369261477,"structure amplitude",NA,NA
"AIM20","YIL158W",0.312488510768205,0.116284844180413,0.0807659959507014,1.10813514551602,0.769658671397627,0.029815369261477,"structure amplitude timing","CCN,SACE_YCM","CNH"
"PIL1","YGR086C",0.314175744278692,0.125434644557798,0.0812684810188589,1.10350319302341,0.714954218689957,0.029815369261477,"structure amplitude timing","BDL","APQ"
"HTB2","YBL002W",0.624667829061349,0.10708469751072,0.0652707892472904,1.08139632041533,0.659137981087896,0.029815369261477,"structure amplitude timing",NA,"BDL"
"HHF2","YNL030W",0.625010067364738,0.105070041398961,0.062989425518099,1.06254580048519,0.636995557135969,0.029815369261477,"structure amplitude timing",NA,"APQ"
"SUR7","YML052W",0.421692534499492,0.110730780321354,0.0742251287137856,1.04484547343316,0.700381497597347,0.029815369261477,"structure amplitude","BRK",NA
"NRM1","YNR009W",0.190797470394709,0.0832899415967347,0.0584826871715454,1.04119995151057,0.731086730040499,0.029815369261477,"structure amplitude timing","AAP,BEF,BHK,AFE,BHG","CBN,BDL,SACE_YCE,BRK,CNH"
"HHF1","YBR009C",0.590205255871974,0.121698984912982,0.069595649053869,1.03481775112081,0.591778255942018,0.029815369261477,"structure amplitude timing",NA,"BDL,APQ"
"SVS1","YPL163C",0.484825366963107,0.127347130945216,0.088759667442833,1.0283923182461,0.716779086350642,0.029815369261477,"structure amplitude",NA,NA
"SCW10","YMR305C",0.389430624112043,0.120345465537608,0.0810851609132814,1.02564997558543,0.691052155056549,0.029815369261477,"structure amplitude timing",NA,"APQ"
"PMP1","YCR024C-A",0.300475512442473,0.109301824205113,0.0797287828240799,1.01361310480536,0.739366791802247,0.0454329436365365,"structure amplitude","APQ",NA
"MMR1","YLR190W",0.412944291023139,0.108909216041802,0.0775714006691794,1.01032807545793,0.719613700263777,0.0454329436365365,"structure amplitude timing","AAP,BDL,CBN,SACE_YCE,APQ",NA
"DSE3","YOR264W",0.390552631011987,0.135295411586296,0.0986805521072883,1.00740422916003,0.734771448367416,0.029815369261477,"structure amplitude",NA,NA
"SFG1","YOR315W",0.20278726959591,0.0968603375732709,0.0700088457230025,1.00103622342301,0.723530314725003,0.029815369261477,"structure amplitude timing","CDH,SACE_YCK,ATS,BHQ,APQ","BDL,AMP"
"TOS6","YNL300W",0.717365573481775,0.117115568675524,0.0638873917961413,0.977002963220812,0.532962199673151,0.029815369261477,"structure amplitude timing",NA,NA
"ERP5","YHR110W",0.306677958341065,0.108973715471785,0.082938175729377,0.976591504438152,0.743268387796502,0.029815369261477,"structure amplitude timing","SACE_YCM,BGD","BDL"
"MSA2","YKR077W",0.209031622571215,0.115568438089869,0.0858145533846079,0.971842071052017,0.721634683881845,0.029815369261477,"structure amplitude timing","AFE,AAP,SACE_YCK,CNH","BDL,APQ"
"EGT2","YNL327W",0.46838191660623,0.128007863607187,0.0948467075831202,0.902448776266983,0.668664352168233,0.029815369261477,"structure amplitude",NA,NA
"MIX17","YMR002W",0.169485484465762,0.107224886051213,0.0744720619894686,0.891978548835694,0.619515526931321,0.029815369261477,"structure amplitude","CLN,CEG,AKI,SACE_YCM,BRK","CNH,BNV,CBN,CCQ,CGS"
"CLN2","YPL256C",0.351646918763715,0.119575339904041,0.0919357205142142,0.826511486097339,0.635464879703552,0.0454329436365365,"structure amplitude timing",NA,"BDL"
