"gene","n_strains_fit","mean_r2","sd_r2","median_r2","mean_amp","sd_amp","cv_amp","mean_peak","sd_peak","n_strains_total","n_not_detected","n_too_few_cells","pct_strains_detected","mean_pct_expressed","sd_r2_null_mean","sd_r2_null_sd","cv_amp_null_mean","cv_amp_null_sd","sd_peak_null_mean","sd_peak_null_sd","sd_z","cv_amp_z","sd_peak_z"
"YML058W",79,0.593158992640821,0.140456992532721,0.607835283827061,2.02089039812532,0.684322004584918,0.338624007130584,70.4629273207677,8.58073806103393,84,0,5,1,0.724326247932103,0.107992465182639,0.008350119982853,0.253775399550429,0.0822122947284671,7.70005106966835,0.815705613032037,3.88791148112225,1.03206713619168,1.07966278188525
"YNL300W",79,0.775658153343679,0.0948124732106675,0.781603140181849,3.37431657444184,0.401858765335596,0.119093379791157,27.3210547313095,2.64454672803967,84,0,5,1,0.485128733522382,0.0731930828815959,0.00565948123399029,0.129015844874036,0.0543691863326465,2.47638735003653,0.404773612861074,3.82003039416893,-0.182501629179646,0.415440563960028
"YBL002W",79,0.669696269874607,0.117505904642949,0.664968008264075,3.42425751652802,0.683032648918646,0.199468832475893,37.1033949681706,6.22805072457246,84,0,5,1,0.833967645364044,0.0902792430563939,0.00756953988425441,0.174497316359478,0.0814713552360389,4.50822971401422,0.781337012751902,3.59687140868236,0.306506698508552,2.20112574022438
"YBR009C",79,0.65203655089636,0.117474129105299,0.650179492066486,3.62565421871227,0.852564310638397,0.235147716579879,34.6826102828079,5.67092605418459,84,0,5,1,0.776547564631482,0.0915641306296916,0.00726706974254306,0.173032707575072,0.0744651363310453,4.41100633803055,0.629906844406052,3.56539835085443,0.83414886570094,2.0001683222573
"YNL031C",79,0.679000714282505,0.113362257512392,0.677991063904462,3.53145567113407,1.1181054524431,0.316613191999672,38.814548332285,6.68277395931551,84,0,5,1,0.9515133063214,0.0888533675653818,0.00759334217220429,0.191678959682132,0.0776027055282721,5.2051733856864,0.703493228870609,3.22768148612158,1.60992109059941,2.10037639736953
"YAL022C",79,0.185160487207548,0.214202139012823,0.0969567248789376,0.487954556992613,0.595073311947836,1.21952608787061,0.374529123143972,11.7731465368107,84,0,5,1,0.205017736141299,0.169953650399911,0.0144275779919951,0.655891454121081,0.171787936073743,11.3757583495315,1.04484250846627,3.06693809851263,3.28099077636962,0.380333097150201
"YPL158C",79,0.617646809291957,0.166432614877264,0.621094585087672,1.54445163333794,0.446635635791246,0.289187195086166,3.16983350087111,4.26454254342037,84,0,5,1,0.197806395346365,0.134985698744639,0.0103062863361505,0.25581140618126,0.0290097878687785,3.45133665383539,0.989018984285018,3.05123641115245,1.15050096387732,0.82223486354295
"YOR188W",79,0.176142346527182,0.214337308594046,0.0833919279171018,0.508835048552215,0.683387577543912,1.34304344696449,40.4560196809295,15.1205175595684,84,0,5,1,0.254592039285837,0.169851459766723,0.0149727802401308,0.757421363964383,0.288962871591038,16.5107588280059,1.55836592778779,2.97111479056445,2.02663435539541,-0.8921147746159
"YDR033W",79,0.33019936459702,0.198645196546906,0.328355828686942,1.09879371635984,0.581262632121627,0.529000688179466,81.4508273371003,13.9089544514589,84,0,5,1,0.394069051916851,0.151319601073086,0.0160568752244092,0.403563187014661,0.107106351454375,7.55384452548271,0.846950585426012,2.94737268692707,1.17114904449189,7.50351913716381
"YNL197C",79,0.16044070185504,0.208680820308656,0.0773045733771948,0.582975426286615,0.607044999547499,1.04128745771361,36.3878587679917,16.6306348386352,84,0,5,1,0.40427322230674,0.163002967141223,0.0157962263856729,0.685833453067745,0.154214342683244,17.4034945727866,1.53540581967919,2.89169400666878,2.30493479699206,-0.503358606725134
"YML012W",79,0.250639659161577,0.19788412443202,0.187729302890409,1.02366882003404,0.633238656449398,0.618597190865243,29.4394283947746,9.76234593266101,84,0,5,1,0.91955956376052,0.159178388787075,0.0133919047686075,0.516253919485245,0.105107459329603,9.3541987655951,1.09052801294031,2.89023378777875,0.973701315137522,0.374265642168568
"YGR279C",79,0.414617354633887,0.169440599815814,0.387416078565566,1.55509150413542,0.834864900385249,0.536859019655827,75.2778090287179,9.65315441330841,84,0,5,1,0.82273915399763,0.136752334696351,0.0113765542621803,0.301168060586961,0.0751240414796618,7.74191145219484,1.15202781730151,2.8733010335239,3.13735728838117,1.65902500999536
"YHR172W",78,0.160178130110492,0.212885602447456,0.0871627531151642,0.236873412942263,0.322978374915533,1.36350623273308,31.524703059511,13.7165592865933,84,1,5,0.988095238095238,0.0752938086987901,0.145684963249846,0.0241016240999058,0.829394776288841,0.183574555250829,14.3408045617582,1.2807124140327,2.78822036718566,2.90950701590671,-0.487420335998248
"YGR189C",79,0.470535743541768,0.162385521811761,0.455994104176359,1.2296361996014,0.47279873439313,0.384502940419609,17.9134827637702,9.42585941650377,84,0,5,1,0.472554017484792,0.131125532763997,0.0113974514282232,0.316514343195444,0.155024694543005,8.43399537623345,0.808522484382561,2.74271746141039,0.438566238911723,1.22676123352063
