"gene","strain","r2","amp","peak","reason","n_cells","pct_expressed","fit_status"
"YAL022C","AAP",0.551818021149285,0.970231914147914,4.64651584625244,0,35,0.285714285714286,"ok"
"YAL022C","AFE",0.275714718791475,0.799800321997442,58.2025847218253,0,55,0.454545454545455,"ok"
"YAL022C","AKH",0.083413029532969,0.400979105240802,87.9097290039062,0,166,0.180722891566265,"ok"
"YAL022C","AKI",0.411059573501011,1.39429876405793,1.15167999267578,0,75,0.2,"ok"
"YAL022C","AKM",0.0467606939130496,0.194307246879585,11.0532026290894,0,205,0.209756097560976,"ok"
"YAL022C","ALS",NA,NA,NA,1,7,0,"too_few_timepoints"
"YAL022C","AMP",0.196874419246165,0.653125029427799,13.8824634552002,0,62,0.290322580645161,"ok"
"YAL022C","ANG",0.0464351953176279,0.257039725699085,86.6996612548828,0,301,0.182724252491694,"ok"
"YAL022C","ANH",0.703034059694112,3.19076503433338,31.1775168613954,0,22,0.272727272727273,"ok"
"YAL022C","ANN",0.07299027202014,0.161292167937226,4.3401028026234,0,384,0.203125,"ok"
"YAL022C","APQ",0.970390920069868,2.4746410001241,77.3828075148842,0,27,0.185185185185185,"ok"
"YAL022C","ATS",0.151526626697166,0.542054523871039,87.4336700439453,0,184,0.146739130434783,"ok"
"YAL022C","AVI",0.707886695593814,0.754213711857543,62.5839004516602,0,13,0.307692307692308,"ok"
"YAL022C","BAF",0.0775002580520361,0.291772255510929,82.5071738849987,0,139,0.18705035971223,"ok"
"YAL022C","BAG",0.0617965936669348,0.231355027165533,86.5042953491211,0,106,0.150943396226415,"ok"
"YAL022C","BAI",0.0413414733427526,0.188125082204382,87.6782302856445,0,412,0.203883495145631,"ok"
"YAL022C","BAK",0.0790316878831628,0.28684714147162,87.8245697021484,0,376,0.207446808510638,"ok"
"YAL022C","BAL",0.0614243833735049,0.212213593716433,0.150543212890625,0,562,0.147686832740214,"ok"
"YAL022C","BAM",0.0849499205516112,0.416633603306761,87.8133163452148,0,377,0.241379310344828,"ok"
"YAL022C","BAN",0.108072393974211,0.42195978269212,87.7856903076172,0,240,0.233333333333333,"ok"
"YAL022C","BAP",0.0615787594710937,0.140777421341574,81.5815998424183,0,235,0.148936170212766,"ok"
"YAL022C","BAQ",NA,NA,NA,1,4,0,"too_few_timepoints"
"YAL022C","BBQ",0.112030836493251,0.43538449846577,0.6346435546875,0,235,0.174468085106383,"ok"
"YAL022C","BCK",0.0791733515570303,0.504249012259972,87.1405639648438,0,356,0.176966292134831,"ok"
"YAL022C","BDB",0.117620232157986,0.422560319186545,87.3848724365234,0,112,0.196428571428571,"ok"
"YAL022C","BDL",0.259301442748149,0.674400916141791,39.8569209792397,0,48,0.208333333333333,"ok"
"YAL022C","BDP",0.0303682189634681,0.212753742685913,0.113960266113281,0,268,0.123134328358209,"ok"
"YAL022C","BEF",0.0662753285381766,0.203263538602064,14.8710814389316,0,277,0.173285198555957,"ok"
"YAL022C","BFH",0.112506282832631,0.194998782641746,69.3318601955067,0,110,0.0636363636363636,"ok"
"YAL022C","BFP",0.0651257288996471,0.306408859740593,86.8515396118164,0,254,0.204724409448819,"ok"
"YAL022C","BGD",0.135890199224055,0.449951562251037,4.18839645385742,0,77,0.155844155844156,"ok"
"YAL022C","BGF",0.0969567248789376,0.250465274722102,80.2199969941919,0,101,0.207920792079208,"ok"
"YAL022C","BHG",0.111884023756241,0.487689210163046,0.356719970703125,0,163,0.214723926380368,"ok"
"YAL022C","BHK",0.132724903708598,0.482892315575123,87.355339050293,0,200,0.215,"ok"
"YAL022C","BHM",0.224224391041753,0.183490018303576,10.4760677164251,0,59,0.0677966101694915,"ok"
"YAL022C","BHQ",0.0373336301486806,0.165861148155808,10.7092704772949,0,454,0.154185022026432,"ok"
"YAL022C","BMA",0.0544762117249483,0.248767126722546,74.0473969199441,0,292,0.181506849315068,"ok"
"YAL022C","BMB",0.0436613987875654,0.142345835086712,0.113510131835938,0,279,0.150537634408602,"ok"
"YAL022C","BMC",0.103635755226807,0.312279232146862,0.221458435058594,0,128,0.171875,"ok"
"YAL022C","BNC",0.0776544056144159,0.442557734940052,1.71995544433594,0,243,0.0987654320987654,"ok"
"YAL022C","BNV",0.177381366495304,0.388958553841226,17.3257865038785,0,179,0.223463687150838,"ok"
"YAL022C","BQM",0.109962856170553,0.210325176549453,3.14647241072221,0,125,0.184,"ok"
"YAL022C","BRK",0.314384454071863,0.398089869770466,77.5239353179932,0,43,0.186046511627907,"ok"
"YAL022C","BTG",0.932915499875095,3.90729499256528,56.8623760396784,0,11,0.181818181818182,"ok"
"YAL022C","BVG",0.20425720585515,0.585786609625784,0.046051025390625,0,124,0.25,"ok"
"YAL022C","CAE",0.125272657830196,0.376479898206314,13.327449278398,0,176,0.267045454545455,"ok"
"YAL022C","CBN",0.49811611345026,0.496276947774668,8.24178464304317,0,50,0.48,"ok"
"YAL022C","CCD",0.100121407285812,0.202971330508689,82.6157360076904,0,299,0.22742474916388,"ok"
"YAL022C","CCG",0.0836370289770271,0.221770651890184,82.3054882396351,0,132,0.234848484848485,"ok"
"YAL022C","CCN",0.168226353102054,0.307824508139541,15.3019172007387,0,75,0.16,"ok"
"YAL022C","CCQ",0.0577824060423531,0.239777328806956,5.52812194824219,0,295,0.193220338983051,"ok"
"YAL022C","CCR",0.043323990827458,0.246251170984558,87.7947998046875,0,458,0.172489082969432,"ok"
"YAL022C","CCS",0.0790611280454924,0.310757195529927,87.9765930175781,0,396,0.214646464646465,"ok"
"YAL022C","CCV",0.0765903448336981,0.238315217153317,0.56719970703125,0,382,0.212041884816754,"ok"
"YAL022C","CDE",0.0572062867320412,0.292303168673239,52.6079398935491,0,300,0.23,"ok"
"YAL022C","CDF",0.831316939833455,1.05810806746872,73.3956319202076,0,19,0.210526315789474,"ok"
"YAL022C","CDH",0.389619270865362,0.336364305064287,30.452375292778,0,36,0.166666666666667,"ok"
"YAL022C","CDI",NA,NA,NA,1,8,0,"too_few_timepoints"
"YAL022C","CDL",0.133681066009831,0.495013303555828,0.970367431640625,0,392,0.181122448979592,"ok"
"YAL022C","CDT",0.127143867615583,0.492842173990738,85.2487640380859,0,124,0.290322580645161,"ok"
"YAL022C","CEG",0.166888904310865,0.578289716747644,46.2399963682348,0,127,0.110236220472441,"ok"
"YAL022C","CFF",0.142622158068161,0.420370407783834,0.227996826171875,0,134,0.164179104477612,"ok"
"YAL022C","CGL",0.0282166731515112,0.177660036247238,3.04736375808716,0,212,0.14622641509434,"ok"
"YAL022C","CGN",0.0802488564170146,0.21459711086749,0.764579772949219,0,370,0.237837837837838,"ok"
"YAL022C","CGS",0.0819364384459509,0.239113726651989,0.22564697265625,0,275,0.207272727272727,"ok"
"YAL022C","CLB",0.0563163804696392,0.363745170091039,86.8268966674805,0,329,0.209726443768997,"ok"
"YAL022C","CLI",0.0744140545028091,0.211648781259498,31.2542455521497,0,279,0.164874551971326,"ok"
"YAL022C","CLN",0.1170921163665,0.157566900832805,78.7370379621332,0,91,0.142857142857143,"ok"
"YAL022C","CLP",0.0694308754004348,0.28517525737153,12.3519495183771,0,176,0.232954545454545,"ok"
"YAL022C","CMI",0.0781413263307611,0.342180310105402,87.0977249145508,0,312,0.240384615384615,"ok"
"YAL022C","CNH",0.412645118892451,0.585366470477508,15.2813282012939,0,38,0.342105263157895,"ok"
"YAL022C","CNK",NA,NA,NA,1,2,1,"too_few_timepoints"
"YAL022C","CPI",0.0581519981715809,0.26757043507736,78.9912234219638,0,308,0.168831168831169,"ok"
"YAL022C","CPK",0.0382352254513196,0.16867069002654,81.3842861869119,0,351,0.199430199430199,"ok"
"YAL022C","CPN",0.0663626103488556,0.398200503889572,0.423225402832031,0,315,0.155555555555556,"ok"
"YAL022C","CQD",0.0472982223749233,0.146351888815927,3.62462390552868,0,394,0.203045685279188,"ok"
"YAL022C","CQF",0.0548919455900613,0.260054445503177,87.3275146484375,0,386,0.233160621761658,"ok"
"YAL022C","SACE_YAG",NA,NA,NA,1,8,0.25,"too_few_timepoints"
"YAL022C","SACE_YCE",0.421471287618405,0.72266427682878,0.19378662109375,0,63,0.19047619047619,"ok"
"YAL022C","SACE_YCK",0.306876489120616,0.557061566542464,2.22503852844238,0,58,0.103448275862069,"ok"
"YAL022C","SACE_YCM",0.302874918539119,0.396010356058236,85.5213047374378,0,50,0.2,"ok"
"YAL022C","SACE_YCR",0.0602137120514716,0.321579932764817,87.4510726928711,0,352,0.170454545454545,"ok"
"YAL022C","SACE_YCU",0.0855119053062041,0.196553921656087,76.6296627521515,0,162,0.203703703703704,"ok"
"YAL022C","SACE_YDE",0.713394266404684,0.629716045943823,7.07789659500122,0,10,0.3,"ok"
"YAL067C","AAP",NA,NA,NA,2,35,0,"constant_expression"
"YAL067C","AFE",NA,NA,NA,2,55,0,"constant_expression"
"YAL067C","AKH",0.0809493983552375,0.124178331927812,79.995434847745,0,166,0.0180722891566265,"ok"
"YAL067C","AKI",NA,NA,NA,2,75,0,"constant_expression"
"YAL067C","AKM",NA,NA,NA,2,205,0,"constant_expression"
"YAL067C","ALS",NA,NA,NA,1,7,0,"too_few_timepoints"
"YAL067C","AMP",NA,NA,NA,2,62,0,"constant_expression"
"YAL067C","ANG",NA,NA,NA,2,301,0,"constant_expression"
"YAL067C","ANH",NA,NA,NA,2,22,0,"constant_expression"
"YAL067C","ANN",0.0190758656378371,0.0188046592605717,0.3856201171875,0,384,0.00260416666666667,"ok"
"YAL067C","APQ",0.22557693056591,0.672985998354793,24.7243614630266,0,27,0.037037037037037,"ok"
"YAL067C","ATS",0.0495670453290021,0.0537299389206953,33.2336502075195,0,184,0.00543478260869565,"ok"
"YAL067C","AVI",NA,NA,NA,2,13,0,"constant_expression"
"YAL067C","BAF",0.0754157441157393,0.0451729213288822,9.02675420587713,0,139,0.00719424460431655,"ok"
"YAL067C","BAG",0.0991108691840378,0.0632891423808025,16.9487135139379,0,106,0.00943396226415094,"ok"
"YAL067C","BAI",0.0277492355593154,0.0573207542942661,13.5453153090043,0,412,0.0218446601941748,"ok"
"YAL067C","BAK",0.0254122545966194,0.0296565670745745,48.9923037940806,0,376,0.00797872340425532,"ok"
"YAL067C","BAL",0.0218516393916346,0.0338666163191175,70.975208976052,0,562,0.00711743772241993,"ok"
"YAL067C","BAM",NA,NA,NA,2,377,0,"constant_expression"
