"gene","n_strains_fit","mean_r2","sd_r2","median_r2","mean_amp","sd_amp","cv_amp","mean_peak","sd_peak","n_strains_total","n_not_detected","n_too_few_cells","pct_strains_detected","mean_pct_expressed","sd_r2_null_mean","sd_r2_null_sd","cv_amp_null_mean","cv_amp_null_sd","sd_peak_null_mean","sd_peak_null_sd","sd_z","cv_amp_z","sd_peak_z"
"YNR009W",79,0.294258292196301,0.171608672848858,0.237337935888574,0.725332351997097,0.636866075421166,0.878033461030172,43.9536698712195,10.3563154625777,84,0,5,1,0.319545229426936,0.152021010267836,0.0129882882655548,0.504498120807582,0.165707109481601,9.4584761032258,0.799064760565861,1.50810192848648,2.25419018768212,1.12361275788977
"YKL130C",79,0.16957602185272,0.189276296901023,0.0986791943538401,0.582576864629909,0.454592723638836,0.780313725516072,72.1901937647057,15.403773451073,84,0,5,1,0.391084750722362,0.167513297921483,0.0144396117352313,0.682578422875128,0.271571547611493,14.8427295258079,0.887962628421539,1.5071734184127,0.359887858284635,0.631832812899315
"YGR284C",79,0.165226683611458,0.193970897710603,0.0921004112646999,0.816256045472861,0.797854926685622,0.977456682998802,84.2752410324996,14.7607746321873,84,0,5,1,0.611202410045709,0.173281330775343,0.0140322919688791,0.681415734069441,0.192635450105075,14.3048824066043,1.49068814197739,1.47442534556335,1.53679371459346,0.305826693555305
"YGL037C",79,0.162883262145859,0.189622458375013,0.0880897080690605,0.696541564640119,0.475531884134386,0.68270424663039,3.60302087830129,16.8361726420715,84,0,5,1,0.451061046042084,0.170823711926476,0.0129782138796855,0.769351920443443,0.341522129827892,16.3690129440773,1.57523378809274,1.44848487032275,-0.25371027598334,0.296565310829079
"YBR139W",79,0.198291013268574,0.193059162707367,0.120644510378099,0.416119126799537,0.493979855483084,1.18711163142726,81.9708218325706,11.7929061780164,84,0,5,1,0.147481886445994,0.162219586318767,0.0217248534272635,0.695886245825206,0.193379085524487,10.8924785230638,1.0602741921275,1.41955279430785,2.54021981885859,0.849240377289428
"YPL163C",79,0.583077456859339,0.131717138079782,0.584600555158425,1.58802700652748,0.716770072341853,0.451358868202882,26.3956412618941,4.12626962593145,84,0,5,1,0.346548926063055,0.117621268157459,0.00998536322803204,0.223845797826415,0.087765653748717,3.23786494012693,0.857882669469744,1.41165319682624,2.59227910530768,1.03557831090543
"YHR153C",78,0.201936685891499,0.182643459074933,0.14654938322918,0.245711349048131,0.253253728261151,1.03069609622119,25.2710439203895,7.7811148111501,84,1,5,0.988095238095238,0.0697339207773588,0.143464065991842,0.0277906841737262,0.753097062319124,0.310928707576007,6.43034391203327,0.940752921019185,1.40980311381223,0.892806058553496,1.43584023917081
"YLR373C",79,0.154610079341757,0.194805003556573,0.0727728931764009,0.395857912448917,0.417415284306256,1.05445734739512,41.3524055518646,22.7402906985354,84,0,5,1,0.199732253907901,0.170023402134058,0.0176459416308775,0.841792150571578,0.290112388050826,21.025079682045,1.79732009258885,1.40437965515824,0.733044177300989,0.954315830309245
"YJL137C",77,0.144626766016625,0.184519566075742,0.0699390354024094,0.255624178852887,0.208110845231364,0.814128171150559,56.2255019444947,18.4783785585278,84,2,5,0.976190476190476,0.105251526786469,0.156432592650033,0.0201224960399971,0.864393884802945,0.292148122996117,18.6211555505214,1.28243456116934,1.39579967464679,-0.17205557624977,-0.111332769964822
"YOR332W",79,0.160974594012413,0.191785389909374,0.0901602261254195,0.77965303941153,0.652964358638184,0.837506333754604,87.3469638932145,29.4820397899649,84,0,5,1,0.968573116587591,0.175154503656198,0.0119357326184581,0.775453873747676,0.154956350099404,27.3740492863978,4.21131219490858,1.393369538746,0.40045122363247,0.500554317990414
"YOR230W",79,0.186239820281499,0.189968327120579,0.113023282248182,0.849878848222563,0.599709018616139,0.705640597916245,10.0194313866319,14.0297809671935,84,0,5,1,0.571378241217602,0.172852102497513,0.0125456010241688,0.668555788503073,0.135773166098865,14.5581472249879,1.29001560123466,1.36432081572592,0.273137988003964,-0.409581292884087
"YOR176W",79,0.163063772593335,0.191796334928326,0.0956709652348826,0.415453518108756,0.260049882376486,0.625942183761726,26.2095903487714,20.1260219096354,84,0,5,1,0.256580382132761,0.172511205175043,0.0143249136431893,0.722946118919869,0.151158639145953,18.89697271939,1.63989832487985,1.34626499214199,-0.641735964984976,0.749466702660072
"YLR095C",79,0.143896662695708,0.193419565474357,0.0655437326663424,0.494462105712455,0.664142401351858,1.34316137410554,86.7153409492072,24.377271708757,84,0,5,1,0.312896479083763,0.168906285140768,0.018215817196927,0.745124964916185,0.1389033325231,24.454206773965,2.15841682744011,1.34571400605206,4.30541440818128,-0.0356442111782394
"YJL074C",79,0.377471331238545,0.16625292111797,0.337565609335507,0.772369855631014,0.691823455652985,0.895715246535322,23.8402752330722,6.64897340248098,84,0,5,1,0.27984167763922,0.145345808164078,0.0159185869305984,0.380455759490224,0.192427094192787,5.32305690923094,0.788475217616414,1.31337744016118,2.67768678421592,1.68162101182879
"YBR070C",79,0.379115560099323,0.161282791717732,0.34258412397374,0.917271536401697,0.898384416899741,0.979409456466896,24.9872742278619,7.06049661067987,84,0,5,1,0.330176270535079,0.143139612171313,0.0138997060871046,0.353377589713733,0.173509734049806,6.03468347234875,0.62114071774979,1.30529231573112,3.60805040813134,1.65149878122197
"YIR010W",79,0.159702513256762,0.196815603902511,0.0790950609342999,0.370891494936237,0.265770343111365,0.716571684009783,38.7383625964358,18.5751453715826,84,0,5,1,0.194799672268702,0.165144861737129,0.0244935543239296,0.799593685862079,0.270411133531425,17.0102745897722,1.24411949221008,1.29302353372373,-0.307021389127264,1.25781389296502
"YDL211C",77,0.14770773106675,0.185341600544167,0.0736325271400873,0.176680872906765,0.169756178685187,0.960806769246422,23.7381291123201,15.4761790391434,84,2,5,0.976190476190476,0.0545136571202358,0.14202933968519,0.0336189505818837,0.933129825743537,0.420065272919617,14.0095252504019,1.30798019931942,1.28832875831397,0.0658872448810634,1.12131192009222
"YMR002W",79,0.23117977614667,0.179162876481796,0.176101950094053,1.0724448764199,0.778815818829302,0.726205920652249,72.302309006683,13.0659790701713,84,0,5,1,0.925386442027764,0.165757492780698,0.010411401824785,0.568654454850976,0.162668090259203,14.7848802741485,0.823051450963137,1.28756760393071,0.968545616723128,-2.08844927247962
