"gene","strain","value","stat"
"YLR151C","CQF",0.0262023308749344,"amp"
"YLR151C","SACE_YCE",0.0518932581242659,"amp"
"YLR151C","SACE_YCK",0.228637395252028,"amp"
"YLR151C","SACE_YCM",0.12906475922487,"amp"
"YLR151C","SACE_YCR",0.0337744382495354,"amp"
"YLR151C","SACE_YCU",0.058874352815703,"amp"
"YGR014W","AAP",0.625647449057176,"amp"
"YGR014W","AFE",0.217109900431103,"amp"
"YGR014W","AKH",0.280316856437631,"amp"
"YGR014W","AKI",0.261151731853791,"amp"
"YGR014W","AKM",0.319449532073262,"amp"
"YGR014W","AMP",0.376273130104234,"amp"
"YGR014W","ANG",0.250875064138444,"amp"
"YGR014W","ANN",0.2725403743435,"amp"
"YGR014W","APQ",0.450537213223355,"amp"
"YGR014W","ATS",0.427221258783205,"amp"
"YGR014W","BAF",0.125765032899187,"amp"
"YGR014W","BAG",0.302315297959721,"amp"
"YGR014W","BAI",0.163230609791708,"amp"
"YGR014W","BAK",0.285775782342991,"amp"
"YGR014W","BAL",0.189613147247736,"amp"
"YGR014W","BAM",0.194208631117596,"amp"
"YGR014W","BAN",0.343205019111803,"amp"
"YGR014W","BAP",0.219205558431716,"amp"
"YGR014W","BBQ",0.2411494401935,"amp"
"YGR014W","BCK",0.422021447812169,"amp"
"YGR014W","BDB",0.363797181774465,"amp"
"YGR014W","BDL",0.272585939619984,"amp"
"YGR014W","BDP",0.427973390278403,"amp"
"YGR014W","BEF",0.160168632482507,"amp"
"YGR014W","BFH",0.353452013866832,"amp"
"YGR014W","BFP",0.192803053950225,"amp"
"YGR014W","BGD",0.829312362875333,"amp"
"YGR014W","BGF",0.416106261239063,"amp"
"YGR014W","BHG",0.468739285413014,"amp"
"YGR014W","BHK",0.499626211869762,"amp"
"YGR014W","BHM",0.405034958887149,"amp"
"YGR014W","BHQ",0.268297054500994,"amp"
"YGR014W","BMA",0.262357317673956,"amp"
"YGR014W","BMB",0.184769092269234,"amp"
"YGR014W","BMC",0.332270441304988,"amp"
"YGR014W","BNC",0.254086689409824,"amp"
"YGR014W","BNV",0.282708098902685,"amp"
"YGR014W","BQM",0.363658237819476,"amp"
"YGR014W","BRK",0.529446774089188,"amp"
"YGR014W","BVG",0.216388134425227,"amp"
"YGR014W","CAE",0.20344768189285,"amp"
"YGR014W","CBN",0.382943854287678,"amp"
"YGR014W","CCD",0.150122042322795,"amp"
"YGR014W","CCG",0.137656303527366,"amp"
"YGR014W","CCN",0.221011268819404,"amp"
"YGR014W","CCQ",0.190529468435427,"amp"
"YGR014W","CCR",0.260772861531795,"amp"
"YGR014W","CCS",0.138208178299163,"amp"
"YGR014W","CCV",0.256945176201292,"amp"
"YGR014W","CDE",0.32853185997327,"amp"
"YGR014W","CDH",0.313538591257734,"amp"
"YGR014W","CDL",0.251897105722566,"amp"
"YGR014W","CDT",0.349154983015317,"amp"
"YGR014W","CEG",0.503886283396636,"amp"
"YGR014W","CFF",0.346312991594302,"amp"
"YGR014W","CGL",0.359248610298154,"amp"
"YGR014W","CGN",0.303378328103278,"amp"
"YGR014W","CGS",0.24257791915808,"amp"
"YGR014W","CLB",0.182360483871274,"amp"
"YGR014W","CLI",0.31862183348783,"amp"
"YGR014W","CLN",0.400118835743436,"amp"
"YGR014W","CLP",0.411742564060565,"amp"
"YGR014W","CMI",0.187410349566969,"amp"
"YGR014W","CNH",0.277115653864535,"amp"
"YGR014W","CPI",0.260456066151498,"amp"
"YGR014W","CPK",0.380926277939696,"amp"
"YGR014W","CPN",0.23749079075091,"amp"
"YGR014W","CQD",0.269874219029129,"amp"
"YGR014W","CQF",0.17455181959581,"amp"
"YGR014W","SACE_YCE",0.737278830944858,"amp"
"YGR014W","SACE_YCK",0.656483810804789,"amp"
"YGR014W","SACE_YCM",0.414312772799855,"amp"
"YGR014W","SACE_YCR",0.242773273503937,"amp"
"YGR014W","SACE_YCU",0.210915558416085,"amp"
"YDR353W","AAP",1.89737077215963,"amp"
"YDR353W","AFE",0.588855803450595,"amp"
"YDR353W","AKH",0.402122908454414,"amp"
"YDR353W","AKI",0.34900795736189,"amp"
"YDR353W","AKM",0.392665299534148,"amp"
"YDR353W","AMP",0.73370688797911,"amp"
"YDR353W","ANG",0.350239246932655,"amp"
"YDR353W","ANN",0.19467971736381,"amp"
"YDR353W","APQ",0.595251252993648,"amp"
"YDR353W","ATS",0.644627059990618,"amp"
"YDR353W","BAF",0.454810152928842,"amp"
"YDR353W","BAG",0.356937540192876,"amp"
"YDR353W","BAI",0.238709026621941,"amp"
"YDR353W","BAK",0.290333087638902,"amp"
"YDR353W","BAL",0.25801847263721,"amp"
"YDR353W","BAM",0.378602917033946,"amp"
"YDR353W","BAN",0.242656643879301,"amp"
"YDR353W","BAP",0.225142622668693,"amp"
"YDR353W","BBQ",0.414821632851555,"amp"
"YDR353W","BCK",0.525854485117141,"amp"
"YDR353W","BDB",0.401375483364189,"amp"
"YDR353W","BDL",0.810800666004182,"amp"
"YDR353W","BDP",0.205046078607104,"amp"
"YDR353W","BEF",0.376365052450312,"amp"
"YDR353W","BFH",0.471517979114338,"amp"
"YDR353W","BFP",0.442356812662239,"amp"
"YDR353W","BGD",0.416068554368325,"amp"
"YDR353W","BGF",0.472249390352462,"amp"
"YDR353W","BHG",0.380960989508201,"amp"
"YDR353W","BHK",0.420941293682193,"amp"
"YDR353W","BHM",0.739322123653048,"amp"
"YDR353W","BHQ",0.366426398061813,"amp"
"YDR353W","BMA",0.381835685126785,"amp"
"YDR353W","BMB",0.294966120067332,"amp"
"YDR353W","BMC",0.255058316659297,"amp"
"YDR353W","BNC",0.264308821972028,"amp"
"YDR353W","BNV",0.452309127686935,"amp"
"YDR353W","BQM",0.302571337065203,"amp"
"YDR353W","BRK",0.64318701339892,"amp"
"YDR353W","BVG",0.50142036292832,"amp"
"YDR353W","CAE",0.215566496318886,"amp"
"YDR353W","CBN",0.847032700240263,"amp"
"YDR353W","CCD",0.297907971833978,"amp"
"YDR353W","CCG",0.4300921838437,"amp"
"YDR353W","CCN",0.352608292702585,"amp"
"YDR353W","CCQ",0.239511422011052,"amp"
"YDR353W","CCR",0.257322628437755,"amp"
"YDR353W","CCS",0.220421344729472,"amp"
"YDR353W","CCV",0.338457795135333,"amp"
"YDR353W","CDE",0.49164360133316,"amp"
"YDR353W","CDH",0.393092496906864,"amp"
"YDR353W","CDL",0.262546956204071,"amp"
"YDR353W","CDT",0.42299565625529,"amp"
"YDR353W","CEG",0.354365497528366,"amp"
"YDR353W","CFF",0.350463630982809,"amp"
"YDR353W","CGL",0.486562637357814,"amp"
"YDR353W","CGN",0.313320036969219,"amp"
"YDR353W","CGS",0.283028533562457,"amp"
"YDR353W","CLB",0.266343667343532,"amp"
"YDR353W","CLI",0.24065508703376,"amp"
"YDR353W","CLN",0.493699862124628,"amp"
"YDR353W","CLP",0.536554380988969,"amp"
"YDR353W","CMI",0.254121705564582,"amp"
"YDR353W","CNH",0.575388536842771,"amp"
"YDR353W","CPI",0.362095083879508,"amp"
"YDR353W","CPK",0.390242615275449,"amp"
"YDR353W","CPN",0.340057932977393,"amp"
"YDR353W","CQD",0.322474289475797,"amp"
"YDR353W","CQF",0.231367083284957,"amp"
"YDR353W","SACE_YCE",1.03276807581019,"amp"
"YDR353W","SACE_YCK",1.12932176536198,"amp"
"YDR353W","SACE_YCM",0.439192356369536,"amp"
"YDR353W","SACE_YCR",0.379364154038252,"amp"
"YDR353W","SACE_YCU",0.0804810662793791,"amp"
"YPL241C","AAP",0.334496207846116,"amp"
"YPL241C","AFE",0.391695637715276,"amp"
"YPL241C","AKH",0.28081996800498,"amp"
"YPL241C","AKI",0.505344014585088,"amp"
"YPL241C","AKM",0.467855664792099,"amp"
"YPL241C","AMP",0.463419798743571,"amp"
"YPL241C","ANG",0.289107570587741,"amp"
"YPL241C","ANN",0.327688163899081,"amp"
"YPL241C","APQ",0.271982292658194,"amp"
"YPL241C","ATS",0.432200671704726,"amp"
"YPL241C","BAF",0.39685626896407,"amp"
"YPL241C","BAG",0.449497202312968,"amp"
"YPL241C","BAI",0.361049945655643,"amp"
"YPL241C","BAK",0.335397399206892,"amp"
"YPL241C","BAL",0.319025360634414,"amp"
"YPL241C","BAM",0.138598679034166,"amp"
"YPL241C","BAN",0.378584901131601,"amp"
"YPL241C","BAP",0.453555366230901,"amp"
"YPL241C","BBQ",0.376322354201522,"amp"
"YPL241C","BCK",0.479133682048088,"amp"
"YPL241C","BDB",0.527332690571453,"amp"
"YPL241C","BDL",0.194932601941677,"amp"
"YPL241C","BDP",0.503055666938933,"amp"
"YPL241C","BEF",0.358711648116538,"amp"
"YPL241C","BFH",0.170374037049125,"amp"
"YPL241C","BFP",0.414202188035247,"amp"
"YPL241C","BGD",0.240356165865208,"amp"
"YPL241C","BGF",0.149442535995679,"amp"
"YPL241C","BHG",0.320691819708229,"amp"
"YPL241C","BHK",0.248666056745563,"amp"
"YPL241C","BHM",0.237272151397554,"amp"
"YPL241C","BHQ",0.475849227848602,"amp"
"YPL241C","BMA",0.498507529561768,"amp"
"YPL241C","BMB",0.492866976620979,"amp"
"YPL241C","BMC",0.531695647657538,"amp"
"YPL241C","BNC",0.426778360480292,"amp"
"YPL241C","BNV",0.362249226869267,"amp"
"YPL241C","BQM",0.339095572577461,"amp"
"YPL241C","BRK",0.373587997134235,"amp"
"YPL241C","BVG",0.311955812149752,"amp"
"YPL241C","CAE",0.437958373746257,"amp"
"YPL241C","CBN",0.146535257305525,"amp"
"YPL241C","CCD",0.337670400509744,"amp"
"YPL241C","CCG",0.187322510698843,"amp"
"YPL241C","CCN",0.262131851923857,"amp"
"YPL241C","CCQ",0.217509908839264,"amp"
"YPL241C","CCR",0.294348367979573,"amp"
"YPL241C","CCS",0.346384068703489,"amp"
"YPL241C","CCV",0.356318199316795,"amp"
"YPL241C","CDE",0.416929250902155,"amp"
"YPL241C","CDH",0.461637188267261,"amp"
"YPL241C","CDL",0.383565560252843,"amp"
"YPL241C","CDT",0.389393823170036,"amp"
"YPL241C","CEG",0.186685484263227,"amp"
"YPL241C","CFF",0.340697715261703,"amp"
"YPL241C","CGL",0.42008569150917,"amp"
"YPL241C","CGN",0.307865199963352,"amp"
"YPL241C","CGS",0.381489111447746,"amp"
"YPL241C","CLB",0.388358122198061,"amp"
"YPL241C","CLI",0.363615089644498,"amp"
"YPL241C","CLN",0.223462865385538,"amp"
"YPL241C","CLP",0.356465038689826,"amp"
"YPL241C","CMI",0.326337160967278,"amp"
"YPL241C","CNH",0.580803917507098,"amp"
"YPL241C","CPI",0.440926312991078,"amp"
"YPL241C","CPK",0.353257762512866,"amp"
"YPL241C","CPN",0.439948865291519,"amp"
"YPL241C","CQD",0.324725828346076,"amp"
"YPL241C","CQF",0.310225051375051,"amp"
"YPL241C","SACE_YCE",0.38746843613857,"amp"
"YPL241C","SACE_YCK",0.346436844851756,"amp"
"YPL241C","SACE_YCM",0.295468079384911,"amp"
"YPL241C","SACE_YCR",0.294463562392678,"amp"
"YPL241C","SACE_YCU",0.296197341593667,"amp"
"YGL061C","AAP",0.476186570890397,"amp"
"YGL061C","AFE",0.247945980094283,"amp"
"YGL061C","AKH",0.126467626164712,"amp"
"YGL061C","AKI",0.190604541189434,"amp"
"YGL061C","AKM",0.217003116057752,"amp"
"YGL061C","AMP",0.123738234594826,"amp"
"YGL061C","ANG",0.0572319241476784,"amp"
"YGL061C","ANN",0.109366438137462,"amp"
"YGL061C","APQ",0.0844669534098027,"amp"
"YGL061C","ATS",0.172033254292125,"amp"
"YGL061C","BAF",0.0866279568411455,"amp"
"YGL061C","BAG",0.164685107818398,"amp"
"YGL061C","BAI",0.100615842412578,"amp"
"YGL061C","BAK",0.156597383016562,"amp"
"YGL061C","BAL",0.0501215392257711,"amp"
"YGL061C","BAM",0.153347664223423,"amp"
"YGL061C","BAN",0.16499216775926,"amp"
"YGL061C","BAP",0.264153910459568,"amp"
"YGL061C","BBQ",0.123122842774906,"amp"
"YGL061C","BCK",0.17066944599421,"amp"
"YGL061C","BDB",0.300847312180292,"amp"
"YGL061C","BDL",0.178728236203497,"amp"
"YGL061C","BDP",0.139979663599019,"amp"
"YGL061C","BEF",0.0345102709314226,"amp"
"YGL061C","BFH",0.121596489381142,"amp"
"YGL061C","BFP",0.137942126807198,"amp"
"YGL061C","BGD",0.30563505586446,"amp"
"YGL061C","BGF",0.102191570653749,"amp"
"YGL061C","BHG",0.0942987496361867,"amp"
"YGL061C","BHK",0.236402363512515,"amp"
"YGL061C","BHM",0.132139449829828,"amp"
"YGL061C","BHQ",0.0990768751102269,"amp"
"YGL061C","BMA",0.297656814781154,"amp"
"YGL061C","BMB",0.148104085345843,"amp"
"YGL061C","BMC",0.278597180962189,"amp"
"YGL061C","BNC",0.196225498063239,"amp"
"YGL061C","BNV",0.0270730361137027,"amp"
"YGL061C","BQM",0.0974071289073082,"amp"
"YGL061C","BRK",0.0357786215348101,"amp"
"YGL061C","BVG",0.171262687876499,"amp"
"YGL061C","CAE",0.103554453852098,"amp"
"YGL061C","CBN",0.166420429522026,"amp"
"YGL061C","CCD",0.157925108422625,"amp"
"YGL061C","CCG",0.150868995275931,"amp"
"YGL061C","CCN",0.317551270121889,"amp"
"YGL061C","CCQ",0.0957244321619091,"amp"
"YGL061C","CCR",0.181077465830005,"amp"
"YGL061C","CCS",0.259332843986759,"amp"
"YGL061C","CCV",0.161083287539333,"amp"
"YGL061C","CDE",0.131757456670065,"amp"
"YGL061C","CDH",0.257792769486974,"amp"
"YGL061C","CDL",0.157668328618148,"amp"
"YGL061C","CDT",0.137333982319926,"amp"
"YGL061C","CEG",0.282324372064377,"amp"
"YGL061C","CFF",0.0830216740379484,"amp"
"YGL061C","CGL",0.111222726933115,"amp"
"YGL061C","CGN",0.177235990395988,"amp"
"YGL061C","CGS",0.17901619139217,"amp"
"YGL061C","CLB",0.19950253679617,"amp"
"YGL061C","CLI",0.196171447493297,"amp"
"YGL061C","CLN",0.150148354643574,"amp"
"YGL061C","CLP",0.144541178787301,"amp"
"YGL061C","CMI",0.116357815771815,"amp"
"YGL061C","CNH",0.202638135295451,"amp"
"YGL061C","CPI",0.15256757925331,"amp"
"YGL061C","CPK",0.0814061055124993,"amp"
"YGL061C","CPN",0.172040223040421,"amp"
"YGL061C","CQD",0.11066288821488,"amp"
"YGL061C","CQF",0.102795641400288,"amp"
"YGL061C","SACE_YCE",0.149414509788357,"amp"
"YGL061C","SACE_YCK",0.474694487773915,"amp"
"YGL061C","SACE_YCM",0.352468899226984,"amp"
"YGL061C","SACE_YCR",0.206057131063473,"amp"
"YGL061C","SACE_YCU",0.102188334919482,"amp"
"YBR007C","AAP",0.54166532653217,"amp"
"YBR007C","AFE",0.468227420820601,"amp"
"YBR007C","AKH",0.0607744216027678,"amp"
"YBR007C","AKI",0.214101905630081,"amp"
"YBR007C","AKM",0.0856053388460244,"amp"
"YBR007C","AMP",0.378569833993792,"amp"
"YBR007C","ANG",0.0433467496663701,"amp"
"YBR007C","ANN",0.0699546641394183,"amp"
"YBR007C","APQ",0.666726939164481,"amp"
"YBR007C","ATS",0.150667322948997,"amp"
"YBR007C","BAF",0.133954671316086,"amp"
"YBR007C","BAG",0.0929559135162912,"amp"
"YBR007C","BAI",0.061296401710906,"amp"
"YBR007C","BAK",0.0739915653717741,"amp"
"YBR007C","BAL",0.0942491494874367,"amp"
"YBR007C","BAM",0.0833649455465913,"amp"
"YBR007C","BAN",0.0496829600489148,"amp"
"YBR007C","BAP",0.0313471299167924,"amp"
"YBR007C","BBQ",0.210902350524709,"amp"
"YBR007C","BCK",0.105241191228007,"amp"
"YBR007C","BDB",0.249271129124316,"amp"
"YBR007C","BDL",0.447322205746532,"amp"
"YBR007C","BDP",0.0686058361272987,"amp"
"YBR007C","BEF",0.120199527857048,"amp"
"YBR007C","BFH",0.178823179708804,"amp"
"YBR007C","BFP",0.0920006430843846,"amp"
"YBR007C","BGD",0.0858407670117764,"amp"
"YBR007C","BGF",0.0785738446073635,"amp"
"YBR007C","BHG",0.0980480661594421,"amp"
"YBR007C","BHK",0.0557908614671785,"amp"
"YBR007C","BHM",0.127883669413008,"amp"
"YBR007C","BHQ",0.0735864329349842,"amp"
"YBR007C","BMA",0.0832750833283401,"amp"
"YBR007C","BMB",0.0503661431988026,"amp"
"YBR007C","BMC",0.102944123866605,"amp"
"YBR007C","BNC",0.0807271157306227,"amp"
"YBR007C","BNV",0.195883220363979,"amp"
"YBR007C","BQM",0.146710029114827,"amp"
"YBR007C","BRK",0.370328921426568,"amp"
"YBR007C","BVG",0.0863044540174581,"amp"
"YBR007C","CAE",0.100481237957104,"amp"
"YBR007C","CBN",0.0330351453366348,"amp"
"YBR007C","CCD",0.121604511670098,"amp"
"YBR007C","CCG",0.0316619455628959,"amp"
"YBR007C","CCN",0.0442207288375111,"amp"
"YBR007C","CCQ",0.0731103480731821,"amp"
"YBR007C","CCR",0.0810746394853525,"amp"
"YBR007C","CCS",0.0713546056284284,"amp"
"YBR007C","CCV",0.0294335095750139,"amp"
"YBR007C","CDE",0.149435627599846,"amp"
"YBR007C","CDH",0.262169531355179,"amp"
"YBR007C","CDL",0.0980901584208093,"amp"
"YBR007C","CDT",0.145033481766709,"amp"
"YBR007C","CEG",0.150601134512936,"amp"
"YBR007C","CFF",0.112382580088419,"amp"
"YBR007C","CGL",0.143667135999704,"amp"
"YBR007C","CGN",0.0960975326037661,"amp"
"YBR007C","CGS",0.0711058599509113,"amp"
"YBR007C","CLB",0.0607463836375517,"amp"
"YBR007C","CLI",0.109645779085646,"amp"
"YBR007C","CLN",0.25531429195936,"amp"
"YBR007C","CLP",0.0850014466931231,"amp"
"YBR007C","CMI",0.109244410985037,"amp"
"YBR007C","CNH",0.158316850080623,"amp"
"YBR007C","CPI",0.0909336605102851,"amp"
"YBR007C","CPK",0.105649896680321,"amp"
"YBR007C","CPN",0.072428264786616,"amp"
"YBR007C","CQD",0.0540644644604918,"amp"
"YBR007C","CQF",0.0217912738563153,"amp"
"YBR007C","SACE_YCE",0.20089826078739,"amp"
"YBR007C","SACE_YCK",0.179933854787454,"amp"
"YBR007C","SACE_YCM",0.208970770690055,"amp"
"YBR007C","SACE_YCR",0.0549092317500341,"amp"
"YBR007C","SACE_YCU",0.101394764692483,"amp"
"YOR176W","AAP",0.267642454010637,"amp"
"YOR176W","AFE",0.231799692757247,"amp"
"YOR176W","AKH",0.259659843559994,"amp"
"YOR176W","AKI",0.181203956840303,"amp"
"YOR176W","AKM",0.117574171587891,"amp"
"YOR176W","AMP",0.19386090470291,"amp"
"YOR176W","ANG",0.218492423027449,"amp"
"YOR176W","ANN",0.173262406965368,"amp"
"YOR176W","APQ",0.916476156788621,"amp"
"YOR176W","ATS",0.276228219604164,"amp"
"YOR176W","BAF",0.144914985792317,"amp"
"YOR176W","BAG",0.198367815728649,"amp"
"YOR176W","BAI",0.213778503286523,"amp"
"YOR176W","BAK",0.221778960167648,"amp"
"YOR176W","BAL",0.112103898995978,"amp"
"YOR176W","BAM",0.0971175487815619,"amp"
"YOR176W","BAN",0.130168870066155,"amp"
"YOR176W","BAP",0.157328901556692,"amp"
"YOR176W","BBQ",0.106003626412939,"amp"
"YOR176W","BCK",0.120224284956239,"amp"
"YOR176W","BDB",0.235772923910285,"amp"
"YOR176W","BDL",0.473418818000693,"amp"
"YOR176W","BDP",0.131367974746973,"amp"
"YOR176W","BEF",0.077551468876719,"amp"
"YOR176W","BFH",0.288921375850268,"amp"
"YOR176W","BFP",0.140312842039386,"amp"
"YOR176W","BGD",0.123512372659754,"amp"
"YOR176W","BGF",0.236656521030676,"amp"
"YOR176W","BHG",0.162477612610039,"amp"
"YOR176W","BHK",0.454545338906248,"amp"
"YOR176W","BHM",0.19767099848331,"amp"
"YOR176W","BHQ",0.214430793276625,"amp"
"YOR176W","BMA",0.0804676855518337,"amp"
"YOR176W","BMB",0.147297990431807,"amp"
"YOR176W","BMC",0.143992502445151,"amp"
"YOR176W","BNC",0.309960054040112,"amp"
"YOR176W","BNV",0.182140819123269,"amp"
"YOR176W","BQM",0.16404638433255,"amp"
"YOR176W","BRK",0.349928922876178,"amp"
"YOR176W","BVG",0.164800364814062,"amp"
"YOR176W","CAE",0.39233531303877,"amp"
"YOR176W","CBN",0.324204669311871,"amp"
"YOR176W","CCD",0.176803901626477,"amp"
"YOR176W","CCG",0.129642188739799,"amp"
"YOR176W","CCN",0.248866013216176,"amp"
"YOR176W","CCQ",0.167347210266089,"amp"
"YOR176W","CCR",0.167070643251219,"amp"
"YOR176W","CCS",0.139338914766895,"amp"
"YOR176W","CCV",0.0882763899920813,"amp"
"YOR176W","CDE",0.254924347972432,"amp"
"YOR176W","CDH",0.362238641025853,"amp"
"YOR176W","CDL",0.219620644117672,"amp"
"YOR176W","CDT",0.271817954237363,"amp"
"YOR176W","CEG",0.435269968143747,"amp"
"YOR176W","CFF",0.180215641530384,"amp"
"YOR176W","CGL",0.217410662045963,"amp"
"YOR176W","CGN",0.12110766184267,"amp"
"YOR176W","CGS",0.210941105899451,"amp"
"YOR176W","CLB",0.188585199664325,"amp"
"YOR176W","CLI",0.20814473021068,"amp"
"YOR176W","CLN",0.30057039431413,"amp"
"YOR176W","CLP",0.179677442798402,"amp"
"YOR176W","CMI",0.122964161550752,"amp"
"YOR176W","CNH",0.226950678470854,"amp"
"YOR176W","CPI",0.0978252210310969,"amp"
"YOR176W","CPK",0.137559985862054,"amp"
"YOR176W","CPN",0.138476898624136,"amp"
"YOR176W","CQD",0.168623021993819,"amp"
"YOR176W","CQF",0.14191535023994,"amp"
"YOR176W","SACE_YCE",0.203970844734738,"amp"
"YOR176W","SACE_YCK",0.261239880127395,"amp"
"YOR176W","SACE_YCM",0.311945139863868,"amp"
"YOR176W","SACE_YCR",0.182740633870433,"amp"
"YOR176W","SACE_YCU",0.179104652964818,"amp"
"YOR114W","AAP",0.0299561738061495,"amp"
"YOR114W","AFE",0.0839085142098141,"amp"
"YOR114W","AKH",0.0213169026825995,"amp"
"YOR114W","AKI",0.075537195328145,"amp"
"YOR114W","AKM",0.0307430517936736,"amp"
"YOR114W","AMP",0.0891033312318047,"amp"
"YOR114W","ANG",0.0583935502332066,"amp"
"YOR114W","ANN",0.022091663018567,"amp"
"YOR114W","APQ",0.177551492966585,"amp"
"YOR114W","ATS",0.0333609730088629,"amp"
"YOR114W","BAF",0.126370370639173,"amp"
"YOR114W","BAG",NA,"amp"
"YOR114W","BAI",0.0497939530556461,"amp"
"YOR114W","BAK",0.0508382680804622,"amp"
"YOR114W","BAL",0.0387837865154393,"amp"
"YOR114W","BAM",0.0599418321930742,"amp"
"YOR114W","BAN",0.0622569411360242,"amp"
"YOR114W","BAP",0.0623434338767259,"amp"
"YOR114W","BBQ",0.0762658536979144,"amp"
"YOR114W","BCK",0.0740628174849823,"amp"
"YOR114W","BDB",0.0498712539048528,"amp"
"YOR114W","BDL",0.480663816342545,"amp"
"YOR114W","BDP",0.0750651000661935,"amp"
"YOR114W","BEF",0.0631002086039772,"amp"
"YOR114W","BFH",0.0733195143017034,"amp"
"YOR114W","BFP",0.0430369504675285,"amp"
"YOR114W","BGD",0.0690414589839095,"amp"
"YOR114W","BGF",0.074473643563881,"amp"
"YOR114W","BHG",0.118645387550228,"amp"
"YOR114W","BHK",0.0634801243744155,"amp"
"YOR114W","BHM",0.0878877964795282,"amp"
"YOR114W","BHQ",0.0422043715241473,"amp"
"YOR114W","BMA",0.0170033346408217,"amp"
"YOR114W","BMB",0.046426429131413,"amp"
"YOR114W","BMC",0.0992713457320798,"amp"
"YOR114W","BNC",0.0657015644224316,"amp"
"YOR114W","BNV",0.0517468178178933,"amp"
"YOR114W","BQM",0.103645345032034,"amp"
"YOR114W","BRK",NA,"amp"
"YOR114W","BVG",0.104556188893468,"amp"
"YOR114W","CAE",0.0492026229643305,"amp"
"YOR114W","CBN",0.186551126135436,"amp"
"YOR114W","CCD",0.0434095674069798,"amp"
"YOR114W","CCG",0.0394040968238646,"amp"
"YOR114W","CCN",NA,"amp"
"YOR114W","CCQ",0.0395087248498039,"amp"
"YOR114W","CCR",0.0647643184558168,"amp"
"YOR114W","CCS",0.0515797733281528,"amp"
"YOR114W","CCV",0.0494132155532983,"amp"
"YOR114W","CDE",0.0405402827534124,"amp"
"YOR114W","CDH",0.0521201849568404,"amp"
"YOR114W","CDL",0.0836598257984607,"amp"
"YOR114W","CDT",0.0708304416469443,"amp"
"YOR114W","CEG",0.0691791968660606,"amp"
"YOR114W","CFF",0.0931763921024331,"amp"
"YOR114W","CGL",0.0477684830767111,"amp"
"YOR114W","CGN",0.0520756258634699,"amp"
"YOR114W","CGS",0.0646279416974214,"amp"
"YOR114W","CLB",0.0719304569376222,"amp"
"YOR114W","CLI",0.0734930563003718,"amp"
"YOR114W","CLN",0.0317646406141773,"amp"
"YOR114W","CLP",0.024078063955905,"amp"
"YOR114W","CMI",0.047314492643342,"amp"
"YOR114W","CNH",0.0185005926149544,"amp"
"YOR114W","CPI",0.0711116473409724,"amp"
"YOR114W","CPK",0.0521722263242594,"amp"
"YOR114W","CPN",0.0390570796634796,"amp"
"YOR114W","CQD",0.0897840165168633,"amp"
"YOR114W","CQF",0.0477014313103976,"amp"
"YOR114W","SACE_YCE",0.0281329595672103,"amp"
"YOR114W","SACE_YCK",0.0845776803038867,"amp"
"YOR114W","SACE_YCM",NA,"amp"
"YOR114W","SACE_YCR",0.0466655805700875,"amp"
"YOR114W","SACE_YCU",0.0442865280588487,"amp"
"YOR247W","AAP",2.33031893516831,"amp"
"YOR247W","AFE",1.43892728140097,"amp"
"YOR247W","AKH",2.05432692810477,"amp"
"YOR247W","AKI",1.72153571002535,"amp"
"YOR247W","AKM",1.83699943768272,"amp"
"YOR247W","AMP",1.74242720534651,"amp"
"YOR247W","ANG",1.86926796187702,"amp"
"YOR247W","ANN",1.52276270976943,"amp"
"YOR247W","APQ",2.44243020429971,"amp"
"YOR247W","ATS",1.68887331222498,"amp"
"YOR247W","BAF",1.80420714313385,"amp"
"YOR247W","BAG",1.78147791316719,"amp"
"YOR247W","BAI",1.82151871348632,"amp"
"YOR247W","BAK",1.75747969279645,"amp"
"YOR247W","BAL",1.56357609983625,"amp"
"YOR247W","BAM",1.82210691275083,"amp"
"YOR247W","BAN",1.86476242652144,"amp"
"YOR247W","BAP",1.90449174299065,"amp"
"YOR247W","BBQ",1.60818405180199,"amp"
"YOR247W","BCK",1.94685765928858,"amp"
"YOR247W","BDB",1.75143679893346,"amp"
"YOR247W","BDL",1.71405964617928,"amp"
"YOR247W","BDP",1.75774780922618,"amp"
"YOR247W","BEF",1.73711563709861,"amp"
"YOR247W","BFH",1.57084218890018,"amp"
"YOR247W","BFP",1.79893994940669,"amp"
"YOR247W","BGD",2.12410422527637,"amp"
"YOR247W","BGF",1.85597946773982,"amp"
"YOR247W","BHG",1.83332976970119,"amp"
"YOR247W","BHK",1.82982427157981,"amp"
"YOR247W","BHM",1.50528808710961,"amp"
"YOR247W","BHQ",1.6268330829995,"amp"
"YOR247W","BMA",1.78874949339909,"amp"
"YOR247W","BMB",1.71399423793879,"amp"
"YOR247W","BMC",1.82263058501941,"amp"
"YOR247W","BNC",2.03240837624042,"amp"
"YOR247W","BNV",1.87568745054375,"amp"
"YOR247W","BQM",1.70254935355615,"amp"
"YOR247W","BRK",0.881792734655475,"amp"
"YOR247W","BVG",1.6793064828995,"amp"
"YOR247W","CAE",1.31972618394615,"amp"
"YOR247W","CBN",1.12691447993322,"amp"
"YOR247W","CCD",1.6807597929887,"amp"
"YOR247W","CCG",1.64138593941408,"amp"
"YOR247W","CCN",1.88245561629673,"amp"
"YOR247W","CCQ",1.81950727309961,"amp"
"YOR247W","CCR",1.81168610235003,"amp"
