"gene","strain","value","stat"
"YDL179W","BVG",0.239718715378323,"r2_adj"
"YDL179W","CAE",0.141037752393084,"r2_adj"
"YDL179W","CBN",0.0958324696448267,"r2_adj"
"YDL179W","CCD",0.456509859586558,"r2_adj"
"YDL179W","CCG",0.29629584173271,"r2_adj"
"YDL179W","CCN",0.528717416948235,"r2_adj"
"YDL179W","CCQ",0.2605473868053,"r2_adj"
"YDL179W","CCR",0.327325060239196,"r2_adj"
"YDL179W","CCS",0.281541526583594,"r2_adj"
"YDL179W","CCV",0.366621186115203,"r2_adj"
"YDL179W","CDE",0.444383834514,"r2_adj"
"YDL179W","CDH",0.600207632343743,"r2_adj"
"YDL179W","CDL",0.397968823097404,"r2_adj"
"YDL179W","CDT",0.293704224383969,"r2_adj"
"YDL179W","CEG",0.0869622190883844,"r2_adj"
"YDL179W","CFF",0.163030378091782,"r2_adj"
"YDL179W","CGL",0.271418288129998,"r2_adj"
"YDL179W","CGN",0.343984673936977,"r2_adj"
"YDL179W","CGS",0.308165638733058,"r2_adj"
"YDL179W","CLB",0.271729354216477,"r2_adj"
"YDL179W","CLI",0.391764419306664,"r2_adj"
"YDL179W","CLN",0.340769227733681,"r2_adj"
"YDL179W","CLP",0.194819909988318,"r2_adj"
"YDL179W","CMI",0.216903259412489,"r2_adj"
"YDL179W","CNH",-0.00724305157854022,"r2_adj"
"YDL179W","CPI",0.1997220836664,"r2_adj"
"YDL179W","CPK",0.354117864635911,"r2_adj"
"YDL179W","CPN",0.247551086114932,"r2_adj"
"YDL179W","CQD",0.26705622308886,"r2_adj"
"YDL179W","CQF",0.245795057632903,"r2_adj"
"YDL179W","SACE_YCE",0.434625564200201,"r2_adj"
"YDL179W","SACE_YCK",0.109456705445986,"r2_adj"
"YDL179W","SACE_YCM",0.173501209129617,"r2_adj"
"YDL179W","SACE_YCR",0.279410472630396,"r2_adj"
"YDL179W","SACE_YCU",0.361855979328435,"r2_adj"
"YEL032W","AAP",0.34727174179987,"r2_adj"
"YEL032W","AFE",0.0944979178501925,"r2_adj"
"YEL032W","AKH",0.250261918734778,"r2_adj"
"YEL032W","AKI",0.210003176916844,"r2_adj"
"YEL032W","AKM",0.210712159840604,"r2_adj"
"YEL032W","AMP",0.206634299352241,"r2_adj"
"YEL032W","ANG",0.16490291393282,"r2_adj"
"YEL032W","ANN",0.240739169546462,"r2_adj"
"YEL032W","APQ",-0.00833401895242747,"r2_adj"
"YEL032W","ATS",0.193941530433478,"r2_adj"
"YEL032W","BAF",0.235984691866032,"r2_adj"
"YEL032W","BAG",0.238928815854686,"r2_adj"
"YEL032W","BAI",0.215563289480072,"r2_adj"
"YEL032W","BAK",0.182415226699395,"r2_adj"
"YEL032W","BAL",0.165069434955905,"r2_adj"
"YEL032W","BAM",0.175160091522436,"r2_adj"
"YEL032W","BAN",0.137505633650323,"r2_adj"
"YEL032W","BAP",0.192666781133103,"r2_adj"
"YEL032W","BBQ",0.291371334726153,"r2_adj"
"YEL032W","BCK",0.0807356375347273,"r2_adj"
"YEL032W","BDB",0.101390385272311,"r2_adj"
"YEL032W","BDL",0.045602504829517,"r2_adj"
"YEL032W","BDP",0.14130061516779,"r2_adj"
"YEL032W","BEF",0.169924783206608,"r2_adj"
"YEL032W","BFH",0.212616134268285,"r2_adj"
"YEL032W","BFP",0.0934024496504291,"r2_adj"
"YEL032W","BGD",0.168875699554684,"r2_adj"
"YEL032W","BGF",0.164092724116131,"r2_adj"
"YEL032W","BHG",0.246484142110514,"r2_adj"
"YEL032W","BHK",0.111752197451141,"r2_adj"
"YEL032W","BHM",0.327250172582702,"r2_adj"
"YEL032W","BHQ",0.199051756006302,"r2_adj"
"YEL032W","BMA",0.238779121494526,"r2_adj"
"YEL032W","BMB",0.189417976415144,"r2_adj"
"YEL032W","BMC",0.266715836382611,"r2_adj"
"YEL032W","BNC",0.137907720842259,"r2_adj"
"YEL032W","BNV",0.280645449166714,"r2_adj"
"YEL032W","BQM",0.19814693355764,"r2_adj"
"YEL032W","BRK",0.272451520998569,"r2_adj"
"YEL032W","BVG",0.157468422321233,"r2_adj"
"YEL032W","CAE",0.0774292895918716,"r2_adj"
"YEL032W","CBN",0.0132832925485898,"r2_adj"
"YEL032W","CCD",0.280117732999647,"r2_adj"
"YEL032W","CCG",0.113839710857273,"r2_adj"
"YEL032W","CCN",0.285598257646824,"r2_adj"
"YEL032W","CCQ",0.1751732185901,"r2_adj"
"YEL032W","CCR",0.281708258852795,"r2_adj"
"YEL032W","CCS",0.197837343267753,"r2_adj"
"YEL032W","CCV",0.12263808517349,"r2_adj"
"YEL032W","CDE",0.20952917617064,"r2_adj"
"YEL032W","CDH",0.513817855845747,"r2_adj"
"YEL032W","CDL",0.261350932929714,"r2_adj"
"YEL032W","CDT",0.25749335705088,"r2_adj"
"YEL032W","CEG",0.194382041546252,"r2_adj"
"YEL032W","CFF",0.142174687974134,"r2_adj"
"YEL032W","CGL",0.187572532556013,"r2_adj"
"YEL032W","CGN",0.215914488355624,"r2_adj"
"YEL032W","CGS",0.205145099238597,"r2_adj"
"YEL032W","CLB",0.276270130478354,"r2_adj"
"YEL032W","CLI",0.11333639321707,"r2_adj"
"YEL032W","CLN",0.276635941637989,"r2_adj"
"YEL032W","CLP",0.124495607935099,"r2_adj"
"YEL032W","CMI",0.19348537111971,"r2_adj"
"YEL032W","CNH",0.0207039042734891,"r2_adj"
"YEL032W","CPI",0.169895268794086,"r2_adj"
"YEL032W","CPK",0.103528825028495,"r2_adj"
"YEL032W","CPN",0.100609494407511,"r2_adj"
"YEL032W","CQD",0.228686584358038,"r2_adj"
"YEL032W","CQF",0.19158531640035,"r2_adj"
"YEL032W","SACE_YCE",0.285895259050037,"r2_adj"
"YEL032W","SACE_YCK",0.0535534284185405,"r2_adj"
"YEL032W","SACE_YCM",0.182858691252243,"r2_adj"
"YEL032W","SACE_YCR",0.100975345677742,"r2_adj"
"YEL032W","SACE_YCU",0.0777970133264522,"r2_adj"
"YNL160W","AAP",0.225161340026587,"r2_adj"
"YNL160W","AFE",0.0956431154661914,"r2_adj"
"YNL160W","AKH",0.0358937373390049,"r2_adj"
"YNL160W","AKI",0.156533110063975,"r2_adj"
"YNL160W","AKM",0.248030613684172,"r2_adj"
"YNL160W","AMP",0.118561667000836,"r2_adj"
"YNL160W","ANG",0.0323808472011627,"r2_adj"
"YNL160W","ANN",0.0378709812420546,"r2_adj"
"YNL160W","APQ",0.276512684946062,"r2_adj"
"YNL160W","ATS",0.0195628356147032,"r2_adj"
"YNL160W","BAF",0.0490997997481071,"r2_adj"
"YNL160W","BAG",NA,"r2_adj"
"YNL160W","BAI",0.0493929111361479,"r2_adj"
"YNL160W","BAK",0.0342843686881197,"r2_adj"
"YNL160W","BAL",0.120785987080148,"r2_adj"
"YNL160W","BAM",-0.00725525007488215,"r2_adj"
"YNL160W","BAN",0.1928312559684,"r2_adj"
"YNL160W","BAP",0.0474091909015687,"r2_adj"
"YNL160W","BBQ",0.000777026483623988,"r2_adj"
"YNL160W","BCK",0.0140470659011457,"r2_adj"
"YNL160W","BDB",0.102433657131441,"r2_adj"
"YNL160W","BDL",0.182156695200289,"r2_adj"
"YNL160W","BDP",0.00714709478487519,"r2_adj"
"YNL160W","BEF",0.00305395777940132,"r2_adj"
"YNL160W","BFH",0.0396223188986068,"r2_adj"
"YNL160W","BFP",0.00903094470165033,"r2_adj"
"YNL160W","BGD",-0.00971318871168148,"r2_adj"
"YNL160W","BGF",-0.0150406240664915,"r2_adj"
"YNL160W","BHG",0.0153170469360372,"r2_adj"
"YNL160W","BHK",-0.00549938551256424,"r2_adj"
"YNL160W","BHM",NA,"r2_adj"
"YNL160W","BHQ",0.0127665636156726,"r2_adj"
"YNL160W","BMA",0.155421564897757,"r2_adj"
"YNL160W","BMB",0.0837277704230089,"r2_adj"
"YNL160W","BMC",0.332157021268606,"r2_adj"
"YNL160W","BNC",-0.00741111529213967,"r2_adj"
"YNL160W","BNV",-0.00663410908852646,"r2_adj"
"YNL160W","BQM",NA,"r2_adj"
"YNL160W","BRK",-0.035099796074799,"r2_adj"
"YNL160W","BVG",0.072900328365584,"r2_adj"
"YNL160W","CAE",-0.0116666277123407,"r2_adj"
"YNL160W","CBN",0.0494123089304461,"r2_adj"
"YNL160W","CCD",0.0452190422202388,"r2_adj"
"YNL160W","CCG",0.0853993083365148,"r2_adj"
"YNL160W","CCN",0.0059897147827167,"r2_adj"
"YNL160W","CCQ",0.0253838605921339,"r2_adj"
"YNL160W","CCR",0.00277250080830671,"r2_adj"
"YNL160W","CCS",0.026455273979194,"r2_adj"
"YNL160W","CCV",0.02586384068267,"r2_adj"
"YNL160W","CDE",0.00247119937462414,"r2_adj"
"YNL160W","CDH",0.0895818365872711,"r2_adj"
"YNL160W","CDL",0.021606992815243,"r2_adj"
"YNL160W","CDT",0.100433906060965,"r2_adj"
"YNL160W","CEG",0.040070903989299,"r2_adj"
"YNL160W","CFF",0.0337153666620731,"r2_adj"
"YNL160W","CGL",0.0126888816241383,"r2_adj"
"YNL160W","CGN",0.000727496615867018,"r2_adj"
"YNL160W","CGS",NA,"r2_adj"
"YNL160W","CLB",0.0193318981393721,"r2_adj"
"YNL160W","CLI",0.0192254196241322,"r2_adj"
"YNL160W","CLN",0.0268032831069679,"r2_adj"
"YNL160W","CLP",0.20334210442134,"r2_adj"
"YNL160W","CMI",0.25170673094854,"r2_adj"
"YNL160W","CNH",-0.0366527078812562,"r2_adj"
"YNL160W","CPI",0.00331938753585437,"r2_adj"
"YNL160W","CPK",0.00574539918457029,"r2_adj"
"YNL160W","CPN",0.00771590953625223,"r2_adj"
"YNL160W","CQD",-0.00443815012844828,"r2_adj"
"YNL160W","CQF",0.0299054106190479,"r2_adj"
"YNL160W","SACE_YCE",-0.0325962007266301,"r2_adj"
"YNL160W","SACE_YCK",0.036833049216926,"r2_adj"
"YNL160W","SACE_YCM",0.0913601469832852,"r2_adj"
"YNL160W","SACE_YCR",0.019423225411121,"r2_adj"
"YNL160W","SACE_YCU",0.0212927569248998,"r2_adj"
"YJL044C","AAP",0.237686680606234,"r2_adj"
"YJL044C","AFE",0.0109020460142242,"r2_adj"
"YJL044C","AKH",0.179251021468596,"r2_adj"
"YJL044C","AKI",0.00474271551203043,"r2_adj"
"YJL044C","AKM",0.0120819770195354,"r2_adj"
"YJL044C","AMP",-0.0485611831210098,"r2_adj"
"YJL044C","ANG",0.0306187103793139,"r2_adj"
"YJL044C","ANN",0.104625117566192,"r2_adj"
"YJL044C","APQ",0.0970678203245071,"r2_adj"
"YJL044C","ATS",0.0496417731780522,"r2_adj"
"YJL044C","BAF",0.0851514551492204,"r2_adj"
"YJL044C","BAG",-0.030691897466427,"r2_adj"
"YJL044C","BAI",0.0861091981460884,"r2_adj"
"YJL044C","BAK",0.0667639954519357,"r2_adj"
"YJL044C","BAL",0.0726580793780758,"r2_adj"
"YJL044C","BAM",0.0602266792020545,"r2_adj"
"YJL044C","BAN",0.06003624600646,"r2_adj"
"YJL044C","BAP",0.0501974623543529,"r2_adj"
"YJL044C","BBQ",0.106686577292861,"r2_adj"
"YJL044C","BCK",0.0492670779637252,"r2_adj"
"YJL044C","BDB",0.049668795399374,"r2_adj"
"YJL044C","BDL",0.123201457863009,"r2_adj"
"YJL044C","BDP",0.0307638408280845,"r2_adj"
"YJL044C","BEF",0.0560756817082876,"r2_adj"
"YJL044C","BFH",0.0985202540760136,"r2_adj"
"YJL044C","BFP",0.0606025028049825,"r2_adj"
"YJL044C","BGD",0.0559897036503468,"r2_adj"
"YJL044C","BGF",0.0241466856704519,"r2_adj"
"YJL044C","BHG",-0.00216005436647726,"r2_adj"
"YJL044C","BHK",0.0691129089300313,"r2_adj"
"YJL044C","BHM",-0.00411680331933151,"r2_adj"
"YJL044C","BHQ",0.0455597097663104,"r2_adj"
