ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,direction,clade
GO:0042176,regulation of protein catabolic process,17/2718,21/5678,0.8095238095238095,1.6911244262237641,3.0402627479848894,0.0019564535614816432,0.018919923747738664,0.01534450040005986,YDL079C/YDL007W/YDR394W/YOR117W/YOR259C/YGL048C/YPL052W/YMR021C/YBL057C/YKL145W/YER021W/YER125W/YHR027C/YIL075C/YIR025W/YFL007W/YFR010W,17,Downregulated,20. CHN V
GO:1902905,positive regulation of supramolecular fiber organization,22/2718,29/5678,0.7586206896551724,1.5847859734591865,3.0251608861884054,0.0019814249486643566,0.01905128700641074,0.01545103907337178,YDR309C/YDR320C-A/YDR356W/YOR122C/YOR181W/YGL061C/YGR080W/YGR113W/YLR319C/YLR337C/YLR429W/YMR109W/YBR234C/YNL138W/YKL138C-A/YKL129C/YKL052C/YKR048C/YKR055W/YIR006C/YCR088W/YFR016C,22,Downregulated,20. CHN V
GO:0043001,Golgi to plasma membrane protein transport,11/2718,12/5678,0.9166666666666666,1.9149497179298502,3.0401000974897734,0.0020184668118650934,0.019296542721430294,0.015649947190941985,YDL226C/YDR372C/YLL050C/YLR309C/YLR380W/YPL051W/YMR079W/YBR080C/YBR164C/YNL264C/YJL004C,11,Downregulated,20. CHN V
GO:0045912,negative regulation of carbohydrate metabolic process,15/2718,18/5678,0.8333333333333334,1.7408633799362276,3.016508013319322,0.0021579959104133864,0.020513222489327246,0.01663670292178741,YDR477W/YGL227W/YGL134W/YGR066C/YPL219W/YPL031C/YMR135C/YBR058C/YBR105C/YEL012W/YIL097W/YIL017C/YCL039W/YFR017C/YAL017W,15,Downregulated,20. CHN V
GO:0005980,glycogen catabolic process,13/2718,15/5678,0.8666666666666667,1.8104979151336766,3.0117059609483623,0.002227639407526814,0.021055597337809942,0.017076581601558508,YGR223C/YPL100W/YPR160W/YPR184W/YBR160W/YBR217W/YNL242W/YNR007C/YJL036W/YIL099W/YIL050W/YFR017C/YFR021W,13,Downregulated,20. CHN V
GO:1901700,response to oxygen-containing compound,53/2718,83/5678,0.6385542168674698,1.3339627826981213,2.936806884880461,0.0022898492493922448,0.02152201007996194,0.01745485323753166,YDL190C/YDL168W/YDL138W/YDL035C/YDR001C/YDR057W/YDR169C/YDR171W/YDR216W/YDR353W/YOL116W/YOL052C-A/YOR018W/YOR113W/YOR124C/YOR363C/YOR371C/YGL248W/YGL039W/YGR008C/YGR088W/YPL203W/YPL096W/YPR093C/YML028W/YML007W/YMR037C/YMR038C/YMR175W/YMR275C/YBR050C/YBR126C/YNL241C/YNL134C/YNL036W/YJL144W/YJL101C/YJL068C/YKL126W/YKL107W/YKL071W/YKL062W/YKR071C/YER020W/YER125W/YER130C/YHL010C/YHL007C/YHR106W/YHR135C/YIL036W/YCL043C/YAL056W,53,Downregulated,20. CHN V
GO:0048311,mitochondrion distribution,20/2718,26/5678,0.7692307692307693,1.6069508122488254,2.9721957725107426,0.002399732136546033,0.022372588745910825,0.018144692417327243,YDL239C/YDL029W/YDL006W/YDR150W/YOR326W/YGL055W/YGR132C/YGR231C/YLL001W/YPR083W/YPR131C/YML104C/YMR072W/YMR275C/YBR179C/YNL304W/YKR001C/YHR194W/YIL062C/YAL048C,20,Downregulated,20. CHN V
GO:0046474,glycerophospholipid biosynthetic process,59/2718,94/5678,0.6276595744680851,1.311203481909414,2.915237804636522,0.002413838908251106,0.022372588745910825,0.018144692417327243,YDL142C/YDL052C/YDR017C/YDR018C/YDR147W/YDR173C/YDR182W/YDR208W/YDR287W/YDR434W/YOR094W/YOR109W/YOR149C/YOR175C/YGL181W/YGL142C/YGL084C/YGR007W/YGR046W/YGR110W/YGR149W/YGR170W/YLR088W/YLR099C/YLR133W/YLR240W/YLR347C/YLR380W/YLR386W/YLR459W/YPL120W/YPR183W/YMR079W/YMR281W/YBL060W/YBL011W/YBR004C/YBR109C/YNL325C/YNL267W/YNL264C/YNL106C/YNL054W/YNL038W/YJL091C/YJL062W/YJR013W/YKL165C/YKR031C/YKR067W/YKR070W/YHR188C/YIL124W/YIL039W/YIL002C/YCL052C/YCL004W/YCR017C/YFR019W,59,Downregulated,20. CHN V
GO:0032787,monocarboxylic acid metabolic process,101/2718,172/5678,0.5872093023255814,1.226701404931807,2.892934823390142,0.0024204653694021873,0.022372588745910825,0.018144692417327243,YDL192W/YDL174C/YDL110C/YDL078C/YDL021W/YDL015C/YDR216W/YDR272W/YDR516C/YDR533C/YDR539W/YOL002C/YOR040W/YOR100C/YOR126C/YOR196C/YOR221C/YOR347C/YOR363C/YOR374W/YGL062W/YGL059W/YGL055W/YGL010W/YGR019W/YGR037C/YGR193C/YGR207C/YGR254W/YGR256W/YLL027W/YLR153C/YLR174W/YLR231C/YLR284C/YLR345W/YLR380W/YLR446W/YPL231W/YPL148C/YPL147W/YPL061W/YPR001W/YPR002W/YPR006C/YPR067W/YPR128C/YML081W/YML054C/YML042W/YML004C/YMR020W/YMR165C/YMR169C/YMR207C/YMR210W/YMR246W/YMR280C/YBL015W/YBR006W/YBR026C/YBR041W/YBR112C/YBR221C/YBR222C/YNL274C/YNL202W/YNL117W/YNL071W/YNL009W/YNR016C/YNR033W/YJL097W/YJL060W/YJL052W/YJR019C/YJR025C/YKL192C/YKL184W/YKL182W/YKL020C/YKR009C/YEL020C/YER010C/YER015W/YER024W/YER065C/YER125W/YER178W/YHR063C/YHR067W/YIL160C/YIL145C/YIL042C/YIR031C/YIR033W/YCL040W/YFR053C/YFR055W/YAL054C/YAR035W,101,Downregulated,20. CHN V
GO:1902903,regulation of supramolecular fiber organization,40/2718,60/5678,0.6666666666666666,1.392690703948982,2.9300409901349562,0.0024420000097446224,0.022428750213850043,0.018190240680562936,YDR309C/YDR320C-A/YDR356W/YOR122C/YOR181W/YGL216W/YGL121C/YGL061C/YGR080W/YGR113W/YGR136W/YLR319C/YLR337C/YLR370C/YLR429W/YPL155C/YPR154W/YMR092C/YMR109W/YBL007C/YBR108W/YBR234C/YNL243W/YNL138W/YNL116W/YJL042W/YJL020C/YKL138C-A/YKL129C/YKL052C/YKL007W/YKR048C/YKR055W/YIL062C/YIL034C/YIR003W/YIR006C/YCR088W/YFR016C/YAR014C,40,Downregulated,20. CHN V
GO:0034599,cellular response to oxidative stress,65/2718,105/5678,0.6190476190476191,1.293212796524055,2.905837779570991,0.0024533540281736744,0.022428750213850043,0.018190240680562936,YDL124W/YDL100C/YDL010W/YDR346C/YDR353W/YDR368W/YDR453C/YDR513W/YDR533C/YOL052C-A/YOL016C/YOR120W/YOR124C/YOR162C/YOR297C/YGL131C/YGL060W/YGR043C/YGR163W/YGR234W/YLL028W/YLR011W/YLR113W/YLR248W/YPL091W/YPL059W/YML028W/YML007W/YMR037C/YMR038C/YMR250W/YBL064C/YBL055C/YBL022C/YBR006W/YBR014C/YBR024W/YBR046C/YBR216C/YNL259C/YNL099C/YNL036W/YJR066W/YJR096W/YJR138W/YKL150W/YKL086W/YKL069W/YKL062W/YKL026C/YKR071C/YEL052W/YHL007C/YHR104W/YHR106W/YHR111W/YIL010W/YIR037W/YCL035C/YCL033C/YCL026C-B/YCR083W/YFL014W/YFR014C/YAL015C,65,Downregulated,20. CHN V
GO:0042144,"vacuole fusion, non-autophagic",29/2718,41/5678,0.7073170731707317,1.47761086882392,2.9409011694370437,0.0024894551552256438,0.02263510040593751,0.01835759550964448,YDL234C/YDL135C/YDL077C/YDR080W/YDR135C/YDR229W/YOL001W/YOR106W/YGL212W/YGR209C/YGR254W/YLR093C/YLR148W/YLR229C/YLR396C/YPL236C/YPL045W/YPL019C/YPR165W/YMR165C/YMR197C/YBL050W/YBR080C/YBR109C/YNL326C/YNL015W/YKL196C/YHR138C/YFL004W,29,Downregulated,20. CHN V
GO:0030968,endoplasmic reticulum unfolded protein response,23/2718,31/5678,0.7419354838709677,1.5499299769754802,2.941830625280138,0.002585577576068247,0.02332630623571716,0.018918179594072684,YDL095W/YDR057W/YDR122W/YDR372C/YDR411C/YOL013C/YLR096W/YLR332W/YLR361C/YML007W/YBL047C/YBR162W-A/YBR201W/YNL305C/YJL095W/YJL034W/YHR030C/YHR079C/YFL044C/YFL038C/YFL031W/YFR026C/YAL023C,23,Downregulated,20. CHN V
GO:0055088,lipid homeostasis,26/2718,36/5678,0.7222222222222222,1.508748262611397,2.934107127466966,0.002593361004090491,0.02332630623571716,0.018918179594072684,YDR027C/YDR484W/YOR059C/YOR086C/YOR228C/YOR245C/YGL247W/YGL126W/YGR110W/YLR087C/YLR099C/YLR350W/YPL109C/YPL031C/YBR204C/YNR008W/YNR070W/YJR116W/YKR003W/YKR020W/YEL031W/YER037W/YHR209W/YIL040W/YAL048C/YAL008W,26,Downregulated,20. CHN V
GO:0010906,regulation of glucose metabolic process,18/2718,23/5678,0.782608695652174,1.6348977828966313,2.923410090527571,0.002868002698250133,0.02565865515600253,0.0208097690855301,YDR081C/YDR477W/YDR511W/YGL227W/YGL059W/YGR066C/YML028W/YMR135C/YMR280C/YBR058C/YBR105C/YBR160W/YJL089W/YEL012W/YIL097W/YIL042C/YIL017C/YCL039W,18,Downregulated,20. CHN V
GO:0022406,membrane docking,30/2718,43/5678,0.6976744186046512,1.4574670157605627,2.8852627672867457,0.002951173076585976,0.025985855563833357,0.021075136264372983,YDR164C/YDR166C/YDR179W-A/YDR468C/YOL018C/YOR036W/YOR086C/YOR106W/YOR177C/YOR326W/YGL219C/YGL212W/YGL124C/YLL006W/YLR026C/YLR148W/YLR396C/YPL232W/YML104C/YBL091C-A/YBR102C/YBR131W/YNR049C/YKL179C/YER008C/YHR195W/YFL038C/YAL048C/YAL014C/YAL010C,30,Downregulated,20. CHN V
GO:0097576,vacuole fusion,30/2718,43/5678,0.6976744186046512,1.4574670157605627,2.8852627672867457,0.002951173076585976,0.025985855563833357,0.021075136264372983,YDL234C/YDL135C/YDL077C/YDR080W/YDR135C/YDR229W/YOL001W/YOR093C/YOR106W/YGL212W/YGR209C/YGR254W/YLR093C/YLR148W/YLR229C/YLR396C/YPL236C/YPL045W/YPL019C/YPR165W/YMR165C/YMR197C/YBL050W/YBR080C/YBR109C/YNL326C/YNL015W/YKL196C/YHR138C/YFL004W,30,Downregulated,20. CHN V
GO:0140056,organelle localization by membrane tethering,30/2718,43/5678,0.6976744186046512,1.4574670157605627,2.8852627672867457,0.002951173076585976,0.025985855563833357,0.021075136264372983,YDR164C/YDR166C/YDR179W-A/YDR468C/YOL018C/YOR036W/YOR086C/YOR106W/YOR177C/YOR326W/YGL219C/YGL212W/YGL124C/YLL006W/YLR026C/YLR148W/YLR396C/YPL232W/YML104C/YBL091C-A/YBR102C/YBR131W/YNR049C/YKL179C/YER008C/YHR195W/YFL038C/YAL048C/YAL014C/YAL010C,30,Downregulated,20. CHN V
