ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,direction,clade
GO:0072526,pyridine-containing compound catabolic process,10/287,30/4885,0.3333333333333333,5.673635307781649,6.414534176203844,4.402747679792012e-6,3.3020607598440094e-4,3.1050957320638404e-4,YDR050C/YDR516C/YGR240C/YGR254W/YBR196C/YJR009C/YKL152C/YKL060C/YCR012W/YAL038W,10,Upregulated,19. Malaysian
GO:0006006,glucose metabolic process,13/287,51/4885,0.2549019607843137,4.3386622941859665,5.987541684323544,4.775907204688624e-6,3.371228615074323e-4,3.1701377854032227e-4,YDR050C/YDR516C/YGR240C/YLR044C/YMR105C/YBR196C/YNL241C/YJL155C/YJR009C/YKL152C/YKL060C/YKL038W/YCR012W,13,Upregulated,19. Malaysian
GO:0006195,purine nucleotide catabolic process,10/287,31/4885,0.3225806451612903,5.490614813982241,6.26586535388177,6.165623471648108e-6,4.110415647765406e-4,3.86523296000396e-4,YDR050C/YDR516C/YGR240C/YGR254W/YBR196C/YJR009C/YKL152C/YKL060C/YCR012W/YAL038W,10,Upregulated,19. Malaysian
GO:0019318,hexose metabolic process,14/287,61/4885,0.22950819672131148,3.9064374250299885,5.706456849391649,7.804028818656449e-6,4.928860306519863e-4,4.634858112797625e-4,YDR009W/YDR050C/YDR516C/YGR240C/YLR044C/YMR105C/YBR196C/YNL241C/YJL155C/YJR009C/YKL152C/YKL060C/YKL038W/YCR012W,14,Upregulated,19. Malaysian
GO:0009132,nucleoside diphosphate metabolic process,10/287,33/4885,0.30303030303030304,5.157850279801499,5.9870062721963,1.1580758451457449e-5,6.948455070874469e-4,6.533985821032835e-4,YDR050C/YDR516C/YGR240C/YGR254W/YBR196C/YJR009C/YKL152C/YKL060C/YCR012W/YAL038W,10,Upregulated,19. Malaysian
GO:1901136,carbohydrate derivative catabolic process,12/287,49/4885,0.24489795918367346,4.168385124084477,5.568486255176338,1.7414103161152756e-5,9.95091609208729e-4,9.357352676068049e-4,YDL022W/YDR050C/YDR516C/YGR240C/YGR254W/YBR196C/YJR009C/YKL152C/YKL060C/YCL043C/YCR012W/YAL038W,12,Upregulated,19. Malaysian
GO:0009166,nucleotide catabolic process,10/287,35/4885,0.2857142857142857,4.863115978098556,5.7298755854312144,2.067347012506203e-5,0.0011276438250033833,0.0010603808600031816,YDR050C/YDR516C/YGR240C/YGR254W/YBR196C/YJR009C/YKL152C/YKL060C/YCR012W/YAL038W,10,Upregulated,19. Malaysian
GO:0072523,purine-containing compound catabolic process,10/287,40/4885,0.25,4.255226480836237,5.164266042446464,7.339526361458932e-5,0.0038293181016307467,0.003600902635919439,YDR050C/YDR516C/YGR240C/YGR254W/YBR196C/YJR009C/YKL152C/YKL060C/YCR012W/YAL038W,10,Upregulated,19. Malaysian
GO:0046434,organophosphate catabolic process,12/287,57/4885,0.21052631578947367,3.5833486154410417,4.900959420127872,8.731407366854636e-5,0.004365703683427318,0.004105293288275513,YDL022W/YDR050C/YDR516C/YGR240C/YGR254W/YBR196C/YJR009C/YKL152C/YKL060C/YKR031C/YCR012W/YAL038W,12,Upregulated,19. Malaysian
GO:1901292,nucleoside phosphate catabolic process,10/287,43/4885,0.23255813953488372,3.958350214731383,4.867609309371676,1.418302659115866e-4,0.006807852763756157,0.006401770318198772,YDR050C/YDR516C/YGR240C/YGR254W/YBR196C/YJR009C/YKL152C/YKL060C/YCR012W/YAL038W,10,Upregulated,19. Malaysian
