"condition","strain","r","n_cells_r1","median_umi_r1","n_cells_r2","median_umi_r2","mean_cells","min_cells"
"Fluconazole","CGS",0.884776527982803,167,1723,84,6903.5,125.5,84
"Fluconazole","CLB",0.728293894240439,37,1087,33,6630,35,33
"Fluconazole","ATS",0.929180628974338,253,2088,207,5238,230,207
"Fluconazole","CPI",0.755348308297075,237,1394,11,5548,124,11
"Fluconazole","CCR",0.730541676808197,37,987,46,8490.5,41.5,37
"Fluconazole","AAP",0.774169575270435,78,3586,7,4239,42.5,7
"Fluconazole","BGD",0.769783406022177,43,2838,28,3415,35.5,28
"Fluconazole","BGF",0.74721424887612,45,1261,36,4891,40.5,36
"Fluconazole","BAP",0.80034936458924,83,1041,58,5309,70.5,58
"Fluconazole","CPN",0.663860647369092,70,1372,13,3747,41.5,13
"Fluconazole","CCS",0.732375474166146,43,900,42,4959,42.5,42
"Fluconazole","BAK",0.769353424081058,84,1379,39,6761,61.5,39
"Fluconazole","BNC",0.758523134961286,140,3796.5,8,5263,74,8
"Fluconazole","CFF",0.774541722478298,41,3532,32,4941.5,36.5,32
"Fluconazole","AMP",0.890919659907373,56,2521,100,7640.5,78,56
"Fluconazole","CGL",0.751930440729075,31,1559,66,5590,48.5,31
"Fluconazole","BHK",0.863697594027256,169,2148,69,6555,119,69
"Fluconazole","CCV",0.932326033962633,346,3119,83,7689,214.5,83
"Fluconazole","CPK",0.718410443049684,140,2597,8,5219.5,74,8
"Fluconazole","CQD",0.834045898639671,132,1524.5,90,6709,111,90
"Fluconazole","BQM",0.887280547380778,101,1464,134,6620.5,117.5,101
"Fluconazole","BAN",0.819714859703315,98,1833.5,68,4837.5,83,68
"Fluconazole","CAE",0.838823072217054,60,1382.5,120,5665.5,90,60
"Fluconazole","BDB",0.882683949075936,62,5691.5,146,8124,104,62
"Fluconazole","BHQ",0.826523625260637,134,1169.5,23,6493,78.5,23
"Fluconazole","BCK",0.728088530682642,147,1568,9,5729,78,9
"Fluconazole","CBN",0.887877190785355,86,8224.5,30,5346,58,30
"Fluconazole","BNV",0.922580562507862,176,3752.5,226,6071.5,201,176
"Fluconazole","BHM",0.872219022293037,56,3595,48,7862,52,48
"Fluconazole","AQA",0.724495337612047,9,2864,93,5688,51,9
"Fluconazole","CEG",0.613143916011784,20,722.5,7,4165,13.5,7
"Fluconazole","BAI",0.71173024348687,55,1021,43,7513,49,43
"Fluconazole","BHG",0.7579694380981,30,1135.5,50,3181,40,30
"Fluconazole","AKI",0.896756504297643,70,3736,67,8117,68.5,67
"Fluconazole","ANN",0.805026743607708,119,1159,22,9367.5,70.5,22
"Fluconazole","BFH",0.771323930477657,41,2584,58,4198,49.5,41
"Fluconazole","BAL",0.743909736811149,71,884,48,5125,59.5,48
"Fluconazole","BAG",0.766058286322644,42,1988.5,57,6530,49.5,42
"Fluconazole","BBQ",0.848237892010931,71,1196,85,4974,78,71
"Fluconazole","CQF",0.807080219037221,116,1806.5,22,12214,69,22
"Fluconazole","BVG",0.852467898669951,118,2853.5,90,5747.5,104,90
"Fluconazole","APQ",0.894120853714967,37,4427,206,10042.5,121.5,37
"Fluconazole","BEF",0.856556193864562,160,2063,72,6732.5,116,72
"Fluconazole","CLN",0.890659951845578,54,3925.5,59,10190,56.5,54
"Fluconazole","CMI",0.603751212103411,17,944,12,2605,14.5,12
"Fluconazole","CCQ",0.785294578883421,63,1522,44,7440,53.5,44
"Fluconazole","BFP",0.807034762580245,50,1581.5,61,4226,55.5,50
"Fluconazole","BDL",0.741859052220806,65,4920,9,2640,37,9
"Fluconazole","BAF",0.731922026266801,31,1553,108,5847.5,69.5,31
"Fluconazole","CNK",0.793279048614744,22,5292,13,13219,17.5,13
"Fluconazole","ALS",0.840846807902718,13,5991,135,8918,74,13
"Fluconazole","CCN",0.826220559753188,32,1381.5,52,7184,42,32
"Fluconazole","CDL",0.796721078965132,66,1537.5,47,6970,56.5,47
"Fluconazole","BRK",0.888083265769906,56,1726.5,179,7024,117.5,56
"Fluconazole","AFE",0.676829545961604,18,1592.5,21,4278,19.5,18
"Fluconazole","CLI",0.724215496701669,32,1018,110,5223.5,71,32
"Fluconazole","CGN",0.706362552104883,26,1454,112,5917.5,69,26
"Fluconazole","SACE_YCE",0.748607180673367,21,1284,45,5292,33,21
"Fluconazole","CNH",0.729809333585089,22,3850,26,4885.5,24,22
"Fluconazole","AKH",0.854516257062658,109,1649,184,6819,146.5,109
"Fluconazole","SACE_YCR",0.776052459515918,46,2731,47,8497,46.5,46
"Fluconazole","CDE",0.681901859524564,17,2618,67,6499,42,17
